dalid	eloadoid	cim	megjelenes
1717	704	There's A Whole Lot Of Loving	1975
1718	705	What Is Love	1992
1719	706	Finding Out More	2015
1720	707	Kiss On My List	1981
1721	707	Maneater	1982
1722	707	Rich Girl	1977
1723	708	Sky On Fire	2012
1724	709	Guitar King	1975
1725	710	Annabel	1983
1726	710	Een Vrouw Zoals Jij	1983
1727	711	Axel F	1985
1728	712	Don't Leave me This Way	1975
1729	712	Satisfaction Guaranteed (Or Take Your Love Back)	1974
1730	713	Moviestar	1975
1731	714	Island In The Sun	1957
1732	715	W.O.L.D.	1974
1733	716	Oh Oh Den Haag	1982
1734	717	Everybody's Talking	1969
1735	717	Without You	1972
1736	718	Sign Of The Times	2017
1737	719	Will You	1981
1738	720	All I Wanna Do Is Make Love To You	1990
1739	720	Alone	1987
1740	720	Barracuda	1977
1741	720	Crazy On You	1976
1742	720	Magic man	1976
1743	721	Temptation	1983
1744	722	It's Good News This Week	1965
1745	723	Queen For Tonight	1963
1746	723	Walking Back To Happiness	1962
1747	724	Atemlos Durch Die Nacht	2013
1748	725	Zelfs Je Naam Is Mooi	1998
1749	726	Met De Vlam In De Pijp	1978
1750	727	Sunny Girl	1968
1751	728	Bittersweet Samba	1966
1752	728	This Guy's In Love With You	1968
1753	729	Der Weg	2002
1754	729	Halt Mich	1988
1755	729	Mensch	2003
1756	730	I Love You Like Myself	1979
1757	730	Still Believe	1978
1758	731	Als Je Wint	1984
1759	732	Never Be Clever	1979
1760	732	Saturday Night	1978
1761	733	Pappie Loop Toch Niet Zo Snel	1971
1762	734	Anne	1986
1763	734	Hilversum 3	1984
1764	734	Liefde Van Later	1969
1765	734	Opzij Opzij	1979
1766	734	Suzanne	1969
1767	734	Toveren	1987
1768	735	A Must To Avoid	1965
1769	735	I'm Henry VIII I Am	1965
1770	735	No Milk Today	1966
1771	735	Theres A Kind Of Hush	1967
1772	736	Toen ik je zag	1997
1773	737	Ik Heb Geen Zin Om Op Te Staan	1965
1774	738	Alles Geprobeerd	1986
1775	738	Belgie	1982
1776	738	Hou Van Mij	1983
1777	738	Vriendschap	1983
1778	739	I Can't Let Maggie Go	1968
1779	740	Have I The Right	1964
1780	741	Popcorn	1972
1781	742	Emma	1974
1782	742	It Started With A Kiss	1982
1783	742	So You Win Again	1977
1784	742	You Sexy Thing	1975
1785	743	Jump Around	1992
1786	744	Take Me To Church	2014
1787	746	Rock The Boat	1974
1788	747	Stuck With You	1986
1789	747	The Power Of Love	1985
1790	748	Russian Spy & I	1966
1791	745	Busje Komt Zo	1995
1792	749	Hit Me With Your Rhythm Stick	1978
1793	749	Sex & Drugs & Rock & Roll	1978
1794	750	Crazy	1987
1795	751	Lust For Life	1977
1796	751	The Passenger	1976
1797	752	Candy	1990
1798	753	Nutbush City Limits	1974
1799	753	Proud Mary	1971
1800	753	River Deep, Mountain High	1966
1801	754	Blue bittersweet	2013
1802	754	Beautiful Distraction	2010
1803	754	Hurricane	2012
1804	754	I Love You	2007
1805	754	I Still Cry	2000
1806	754	I'm Not So Tough	1998
1807	754	Lay Your Weapons Down	2018
1808	754	Miracle	2009
1809	754	Next To Me	2010
1810	754	Puzzle Me	2009
1811	754	So Incredible	2008
1812	754	The Great Escape	2007
1813	754	We Are One	2012
1814	754	Winter Of Love	2012
1815	754	World Of Hurt	1998
1816	755	Where Are You	1998
1817	756	Body Talk	1981
1818	756	Just An Illusion	1982
1819	757	Bad Liar	2018
1820	757	Believer	2017
1821	757	Demons	2014
1822	757	I Bet My Life	2014
1823	757	It's Time	2013
1824	757	Natural	2018
1825	757	On top of the world	2013
1826	757	Radioactive	2012
1827	757	Thunder	2017
1828	757	Whatever It Takes	2017
1829	758	Don't You Worry 'Bout A Thing	1992
1830	759	Last Night A DJ Saved My Life	1983
1831	760	Need You Tonight	1987
1832	760	Never Tear Us Apart	1988
1833	760	Original Sin	1984
1834	760	Suicide Blonde	1990
1835	761	Fame	1983
1836	761	Flashdance (What A Feeling)	1983
1837	762	In-A-Gadda-Da-Vida	1970
1838	763	Can I Play With Madness	1988
1839	763	Fear Of The Dark	1993
1840	763	Run To The Hills	1982
1841	764	Voltooid Verleden Tijd	1997
1842	765	Theme From Shaft	1971
1843	766	De Wilde Boerendochter	1974
1844	767	Centerfold	1982
1845	768	Thanks	1969
1846	769	Cajun Moon	1973
1847	770	In The Still Of The Night	1974
1848	770	Papa was a poor man	1974
1849	771	Banana Pancakes	2005
1850	771	Sitting, Waiting, Wishing	2005
1851	771	Upside Down	2006
1852	772	When You Walk In The Room	1964
1853	773	Reet Petite	1987
1854	774	ABC	1970
1855	774	Can You Feel It	1981
1856	774	I Want You Back	1970
1857	775	Doctor My Eyes	1972
1858	775	The Load Out / Stay	1977
1859	775	The Pretender	1976
1860	776	You're A Friend Of Mine	1986
1861	777	Le Moribond	1961
1862	777	Marieke	1961
1863	777	Mijn Vlakke Land	1965
1864	777	Ne me Quitte Pas	1959
1865	777	Voir Un Ami Pleurer	1961
1866	778	Il Est Cinq Heures Paris S'Ă‰veille	1968
1867	779	Manuela	1971
1868	780	I'm Your Puppet	1976
1869	781	Say You Won't Let Go	2016
1870	782	Hold Back The River	2014
1871	782	Let It Go	2015
1872	783	Limit To Your Love	2011
1873	784	1973	2007
1874	784	Bonfire Heart	2013
1875	784	Goodbye My Lover	2005
1876	784	Stay The Night	2010
1877	784	Wisemen	2005
1878	784	You're Beautiful	2005
1879	785	Get Up (I Feel Like Being a) Sex Machine	1970
1880	785	I Got You I Feel Good	1966
1881	785	It's A Man's Man's Man's World	1966
1882	786	Baby Come To Me	1983
1883	787	Slave To The Music	2011
1884	787	Wonderful World	2006
1885	787	You Give Me Something	2007
1886	788	Broken Strings	2008
1887	789	Fire And Rain	1970
1888	789	You've Got A Friend	1971
1889	790	Sailing To Philadelphia	2000
1890	791	All At Sea	2004
1891	791	Everlasting Love	2004
1892	792	Deeper Underground	1998
1893	792	Seven Days In Sunny June	2005
1894	792	Too Young To Die	1993
1895	792	Virtual Insanity	1996
1896	793	Crockett's Theme	1987
1897	794	Als De Morgen Is Gekomen	2006
1898	794	Als Je Lacht	2008
1899	794	Cupido	2006
1900	794	Dan Volg Je Haar Benen	2007
1901	794	Ik Zing Dit Lied Voor Jou Alleen	1997
1902	794	Laura	2005
1903	794	Stilte In De Storm	2008
1904	794	Vrienden Voor Het Leven	2005
1905	795	What Have You Done For Me Lately	1986
1906	796	At Seventeen	1975
1907	796	Fly Too High	1979
1908	796	The Other Side Of The Sun	1980
1909	797	Cry Baby	1971
1910	797	Me And Bobby McGee	1971
1911	797	Mercedes Benz	1970
1912	797	Try (Just A Little Bit Harder)	1967
1913	798	Nightporter	1980
1914	799	Too Many Broken Hearts	1989
1915	800	Butterfly	2009
1916	800	I Won't Give Up	2012
1917	800	I'm Yours	2008
1918	800	Make It Mine	2009
1919	801	Lucky	2009
1920	802	Gotta Catch 'M All (Pokemon Theme Song)	1997
1921	803	Cara Mia	1965
1922	804	Numb/Encore	2004
1923	805	Niggas In Paris	2011
1924	806	Empire State Of Mind (part 2)	2009
1925	807	Oxygene IV	1977
1926	808	Harper Valley PTA	1968
1927	809	Hi Ho Silver Lining	1967
1928	810	Grace	1994
1929	810	Hallelujah	1994
1930	810	Last Goodbye	1994
1931	811	Forever Autumn	1978
1932	812	The Eve Of The War	1978
1933	813	Somebody To Love	1967
1934	813	White Rabbit	1967
1935	814	Let's Get Loud	2000
1936	815	Crush	1998
1937	816	The Power Of Love	1985
1938	817	Do What You Do	1985
1939	818	When The Rain Begins To Fall	1984
1940	819	Jij Bent Zo	2007
1941	820	Wit Licht	2015
1942	821	Great Balls Of Fire	1957
1943	821	Whole Lotta Shakin Going On	1957
1944	822	Nice And Slow	1976
1945	823	Domino	2011
1946	823	Price Tag	2011
1947	824	Bourrée	1969
1948	824	Locomotive Breath	1972
1949	825	Pied Piper	1966
1950	826	Louise	2014
1951	826	Tonight	2014
1952	827	Foolish Games	1997
1953	828	The Birds And The Bees	1965
1954	829	Bad Bad Leroy Brown	1973
1955	829	I Got A Name	1975
1956	829	I'll Have To Say I Love You In A Song	1974
1957	829	Time In A Bottle	1972
1958	829	You Don't Mess Around With Jim	1972
1959	830	I Should Have Known Better	1984
1960	831	Swing Your Daddy	1975
1961	832	Adios amigo	1962
1962	832	Distant Drums	1966
1963	832	He'll Have To Go	1960
1964	832	I Love You Because	1964
1965	833	Hey Joe	1967
1966	833	Little Wing	1967
1967	833	Purple Haze	1967
1968	833	Voodoo Child (Slight Return)	1968
1969	834	All Along The Watchtower	1968
1970	834	The Wind Cries Mary	1967
1971	835	Dance Across The Floor	1978
1972	836	Reggae Night	1983
1973	836	Wild World	1970
1974	837	Il Mondo	1994
1975	838	What Becomes Of The Broken Hearted	1966
1976	839	After Midnight	1972
1977	839	Call Me The Breeze	1972
1978	839	Cocaine	1976
1979	840	Rosie	1980
1980	841	The Night They Drove Ol 'Dixie Down	1971
1981	842	I Love Rock 'N' Roll	1982
1982	843	Dust Bowl	2011
1983	844	Delta Lady	1969
1984	844	Feelin' Alright	1972
1985	844	Many Rivers To Cross	1982
1986	844	N'oubliez Jamais	1997
1987	844	Summer In The City	1994
1988	844	The Letter	1970
1989	844	Unchain My Heart	1987
1990	844	With A Little Help From My Friends	1968
1991	844	You Are So Beautiful	1974
1992	844	You Can Leave Your Hat On	1986
1993	845	Up Where We Belong	1982
1994	846	L'été  Indien	1975
1995	846	Les Champs Elysées	1969
1996	847	A Slow Song	1982
1997	847	Be My Number Two	1984
1998	847	Happy Ending	1984
1999	847	Is She Really Going Out With Him	1988
2000	847	Real Men	1982
2001	847	Steppin' Out	1982
2002	848	Games People Play	1969
2003	849	Ya Ya	1962
2004	850	100 Years	1975
2005	851	Tumble And Fall	2001
2006	852	Annie's Song	1976
2007	852	Calypso	1975
2008	852	Leaving On A Jet Plane	1969
2009	852	Take Me Home, Country Roads	1971
2010	852	Thank God I'm a Country Boy	1975
2011	853	You're The Voice	1987
2012	854	Judy In Disguise	1968
2013	855	Have A Little Faith In Me	1989
2014	856	All of me	2013
2015	856	Ordinary People	2005
2016	856	Save Room	2007
2017	856	This Time	2009
2018	857	Imagine	1971
2019	857	Instant Karma	1970
2020	857	Jealous Guy	1971
2021	857	Mother	1971
2022	857	Woman	1981
2023	857	Working Class Hero	1970
2024	858	Give Peace A Chance	1969
2025	858	Happy X-Mas	1972
2026	859	Johnny Remember Me	1961
2027	860	Room To Move	1970
2028	861	Daughters	2005
2029	861	Free Fallin'	2008
2030	861	Gravity	2006
2031	861	Heartbreak Warfare	2009
2032	861	In The Blood	2017
2033	861	New Light	2018
2034	861	Perfectly Lonely	2010
2035	861	Shadow Days	2012
2036	861	Slow Dancing in a Burning Room	2006
2037	861	Stop This Train	2006
2038	861	Waiting On The World To Change	2006
2039	861	Who Says	2009
2040	862	Half Of My Heart	2010
2041	863	Music	1976
2042	864	Love me again	2013
2043	865	St. Elmo's Fire	1985
2044	866	Love Is In The Air	1977
2045	867	If I Only Had Time	1968
2046	868	Greased Lightning	1978
2047	868	Sandy	1978
2048	869	You're The One That I Want	1978
2049	869	Summer Nights	1978
2050	870	Missing You	1984
2051	871	Hey Mal Yo	1975
2052	872	Red River Rock	1960
2053	873	Hang On In There Baby	1974
2054	874	A Boy Named Sue	1969
2055	874	A Thing Called Love	1972
2056	874	Folsom Prison Blues	1968
2057	874	Hurt	2002
2058	874	I WALK THE LINE	1957
2059	874	One	2000
2060	874	Ring Of Fire	1963
2061	874	San Quentin	1969
2062	874	Solitary Man	2000
2063	875	A Real Mother For Ya	1977
2064	876	Pour Moi La Vie Va Commencer	1963
2065	877	Turn Back The Clock	1988
2066	878	Shakin' All Over	1960
2067	879	Sophietje	1965
2068	880	Hold Me Now	1987
2069	880	What's Another Year	1980
2070	881	Too Much Too Little Too Late	1978
2071	882	Tears On My Pillow	1975
2072	883	Poetry In Motion	1961
2073	884	I Hear You Now	1980
2074	884	I'll Find My Way Home	1982
2075	885	In Your Light	2009
2076	886	Surrender	1982
2077	887	Just Another Day	1992
2078	888	Stop The Cavalry	1980
2079	889	Happiness	2011
2080	889	Lost	2010
2081	890	Egyptian Reggae	1977
2082	891	Big Yellow Taxi	1970
2083	891	Both Sides Now	1968
2084	892	Ik Ben Blij Dat Ik Je Niet Vergeten Ben	1975
2085	893	Che Sara	1971
2086	893	No Dogs Allowed	1970
2087	893	The Windmills Of Your Mind	1969
2088	894	Jessie	1994
2089	895	Don't Stop Believin'	1981
2090	895	OPEN ARMS	1981
2091	896	Atmosphere	1979
2092	896	Love Will Tear Us Apart	1980
2093	896	Transmission	1979
2094	897	La Camisa Negra	2005
2095	898	Stay With Me Till Dawn	1979
2096	899	Send In The Clowns	1975
2097	900	Somewhere Over The Rainbow	1939
2098	901	Ik Zou Wel Eens Willen Weten...	1955
2099	902	Geh Nicht In Die Stadt	1984
2100	902	Stimmen Im Wind	1986
2101	903	Don't Cry For Me Argentina	1977
2102	904	This Wheel's On Fire	1968
2103	905	The Wedding	1964
2104	906	Ce n'Est Rien	1974
2105	906	Elle Voulait Qu'on l'Appelle Venise	1976
2106	906	Helene	1987
2107	906	Ma Préference	1978
2108	906	Si On Chantait	1974
2109	906	This Melody	1976
2110	907	Por Un Poco De Tu Amor	1979
2111	907	Quiereme Mucho	1979
2112	907	Un Canto A Galicia	1972
2113	908	Someone Loves You Honey	1982
2114	909	Love Yourself	2016
2115	909	Sorry	2015
2116	909	What Do You Mean	2015
2117	910	Can't Stop The Feeling	2016
2118	910	Cry Me A River	2002
2119	910	Mirrors	2013
2120	968	Everything for free	1998
2121	968	Not An Addict	1996
2122	911	Dagen Dat Ik Je Vergeet	1989
2123	911	In Het Donker (Zien Ze Je Niet)	1983
2124	911	Intimiteit	1984
2125	912	I PREDICT A RIOT	2005
2126	912	Ruby	2007
2127	913	Too Shy	1983
2128	914	Way Down We Go	2016
2129	915	When	1958
2130	916	The Elephant Song	1975
2131	917	Damn Those Eyes	1999
2132	917	No Surrender	2009
2133	917	Rain Down On Me	2002
2134	917	Shot Of A Gun	2008
2135	918	Before You Let Me Go	2003
2136	919	Closest Thing To Heaven	1984
2137	920	Carry on wayward son	1976
2138	920	Dust In The Wind	1978
2139	921	Lambada	1989
2140	922	Hot Shot	1978
2141	923	Geen Kind Meer	1996
2142	923	Zuid-Afrika	1991
2143	924	Babooshka	1980
2144	924	Cloudbusting	1985
2145	924	Running Up That Hill	1985
2146	924	The Man With The Child In His Eyes	1978
2147	924	Them Heavy People	1979
2148	924	Wuthering Heights	1978
2149	925	If You Were A Sailboat	2007
2150	925	Nine Million Bicycles	2005
2151	925	Piece By Piece	2005
2152	925	Shy Boy	2007
2153	925	Spider's Web	2005
2154	925	The Closest Thing To Crazy	2004
2155	926	Love Shine A Light	1997
2156	926	Walking On Sunshine	1985
2157	927	Firework	2010
2158	927	Hot N Cold	2008
2159	927	I Kissed A Girl	2008
2160	927	Roar	2013
2161	928	Chained To The Rhythm	2017
2162	929	Lyrics	1973
2163	929	Mammoth	1973
2164	929	Ruthless Queen	1979
2165	929	Starlight Dancer	1977
2166	929	Wintertime	1974
2167	930	Get Down Tonight	1975
2168	930	I'm Your Boogie Man	1977
2169	930	Please Don't Go	1979
2170	930	That's The Way I Like It	1975
2171	931	Bedshaped	2004
2172	931	Bend And Break	2005
2173	931	Everybody's Changing	2004
2174	931	Is It Any Wonder	2006
2175	931	Silenced By The Night	2012
2176	931	Somewhere Only We Know	2004
2177	931	Sovereign Light Cafe	2012
2178	931	This Is The Last Time	2005
2179	932	Excerpt From A Teenage Opera	1967
2180	933	Because Of You	2006
2181	933	Breakaway	2004
2182	934	David's Song	1979
2183	936	Parijs	2015
2184	937	Whenever I Call You Friend	1978
2185	938	Coward Of The County	1980
2186	938	Ruby Don't Take Your Love To Town	1969
2187	939	Islands In The Stream	1983
2188	940	We've Got Tonight	1983
2189	935	All For Nothing	2014
2190	935	Bridges	2017
2191	935	Do I Ever	2016
2192	935	Done With It	2015
2193	935	Home Again	2012
2194	935	Riddles	2015
2195	935	Sorry	2016
2196	935	Streets	2014
2197	935	Uncharted	2019
2198	935	War	2014
2199	941	Stranger In Blue Suede Shoes	1969
2200	942	Annie I'm Not Your Daddy	1982
2201	943	All Summer Long	2008
2202	944	Starmaker	1983
2203	945	I've Got The Music In Me	1974
2204	946	Love Like Blood	1985
2205	947	Bette Davis Eyes	1981
2206	947	Universal Song	1984
2207	948	Cambodia	1981
2208	948	Chequered Love	1981
2209	948	Kids in America	1981
2210	948	Never Trust A Stranger	1988
2211	949	Dreams Are Ten A Penny	1973
2212	950	Ik Heb Zo Waanzinnig Gedroomd	1981
2213	951	Love And Pride	1985
2214	952	Starless	1974
2215	953	Memphis Soul Stew	1967
2216	954	Back Down South	2011
2217	954	Pyro	2010
2218	954	Sex On Fire	2008
2219	954	Use Somebody	2008
2220	955	Tom Dooley	1959
2221	956	I Was Made For Loving You	1979
2222	956	Sure Know Something	1979
2223	957	A Routine Day	1979
2224	958	Laat Mij Maar Alleen	1982
2225	958	Over De Muur	1984
2226	959	All I Want	2012
2227	960	Celebration	1980
2228	960	Cherish	1985
2229	960	Fresh	1985
2230	960	Joanna	1984
2231	961	Zijn Het Je Ogen	1988
2232	962	Zoek Jezelf	1975
2233	963	Freak On A Leash	1998
2234	964	Diggin'	2015
2235	964	My Love	2015
2236	965	Autobahn	1975
2237	965	The Model	1978
2238	966	All My Life	2008
2239	966	I Would Stay	2000
2240	966	Sweet Goodbyes	2009
2241	967	Golden Days	2010
2242	969	Black Horse And The Cherry Tree	2005
2243	969	Suddenly I See	2006
2244	970	Can't Get You Out Of My Head	2001
2245	971	Sorry	2009
2246	972	Sukiyaki	1963
2247	973	Lady Marmalade	1975
2248	974	(Something Inside) So Strong	1987
2249	974	It Must Be Love	1972
2250	975	Beneath Your Beautiful	2012
2251	976	I'm A Gambler	1969
2252	977	Need You Now	2010
2253	978	Alejandro	2010
2254	978	Bad Romance	2009
2255	978	Paparazzi	2009
2256	978	Poker Face	2009
2257	979	Always Remember Us This Way	2019
2258	980	Shallow	2018
2259	981	Sunshine Reggae	1983
2260	982	Video Games	2011
2261	983	Het Land Van	2005
2262	984	Zing Voor Me	2010
2263	985	Radio Africa	1985
2264	986	Self Control	1984
2265	987	Queen Of Elba	2012
2266	987	Single Girls	2009
2267	987	Use Somebody	2010
2268	987	Wicked World	2010
2269	988	La Solitudine	1993
2270	988	Strani Amori	1994
2271	989	You Say	2019
2272	990	How Do I Live	1998
2273	991	Black Dog	1971
2274	991	Dazed And Confused	1969
2275	991	Immigrant Song	1971
2276	991	Kashmir	1975
2277	991	Rock 'N' Roll	1971
2278	991	Since I've Been Loving You	1970
2279	991	Stairway To Heaven	1971
2280	991	Whole Lotta Love	1969
2281	992	You Never Walk Alone	1976
2282	993	Op Een Mooie Pinksterdag	1967
2283	994	M'n Opa	1967
2284	995	I Was Made For Dancing	1979
2285	996	Green Tambourine	1968
2286	997	Always On The Run	1991
2287	997	Are You Gonna Go My Way	1993
2288	997	Fly Away	1998
2289	997	I'll Be Waiting	2008
2290	997	It Ain't Over Till It's Over	1991
2291	997	Let Love Rule	1989
2292	998	De Troubadour	1969
2293	999	Long Tall Glasses	1974
2294	999	Orchard Road	1983
2295	999	When I Need You	1977
2296	1000	Pittsburgh In The Rain	1971
2297	1001	Famous Blue Raincoat	1971
2298	1001	Hallelujah	1984
2299	1001	So Long Marianne	1968
2300	1001	Suzanne	1968
2301	1001	Take This Waltz	1988
2302	1001	You Want It Darker	2016
2303	1002	Man Of Action	1970
2304	1003	It's Over	1987
2305	1003	Lessons In Love	1986
2306	1003	Love Games	1981
2307	1003	Running In The Family	1987
2308	1004	Someone You Loved	2019
2309	1005	Nao 't Zuuje	2017
2310	1006	Te Veel Te Vaak	1974
2311	1007	High	1998
2312	1008	Never Ending Story	1984
2313	1009	Behind Blue Eyes	2004
2314	1010	Blue Bayou	1977
2315	1010	Don't Know Much	1989
2316	1010	It's So Easy	1977
2317	1011	Ademnood	1995
2318	1012	Breaking The Habit	2004
2319	1012	In The End	2000
2320	1012	Numb	2003
2321	1012	One More Light	2016
2322	1013	All Night Long	1983
2323	1013	Dancing On The Ceiling	1986
2324	1013	Hello	1984
2325	1013	My Destiny	1992
2326	1013	Penny Lover	1984
2327	1013	Stuck On You	1984
2328	1014	Face In The Crowd	2008
2329	1015	Funky Town	1980
2330	1016	Narcotic	1998
2331	1017	Hallelujah	2009
2332	1018	All Around The World	1989
2333	1019	Long Haired Lover From Liverpool	1973
2334	1020	I Will Follow Him	1963
2335	1021	Long Tall Sally	1956
2336	1021	Tutti Frutti	1957
2337	1022	Forever Blue	1995
2338	1022	Home On A Monday	1977
2339	1022	It's A Long Way There	1976
2340	1022	Reminiscing	1978
2341	1023	Bitter Fruit	1987
2342	1024	I Alone	1995
2343	1024	Lightning Crashes	1995
2344	1024	Overcome	2001
2345	1024	Run To The Water (Live)	2000
2346	1024	Selling The Drama	1995
2347	1024	The Dolphin's Cry	1999
2348	1025	You Are My Love	1976
2349	1026	Wang Wang Doodle	1971
2350	1027	Love Rears Its Ugly Head	1990
2351	1028	Personality	1959
2352	1029	Me And You And A Dog Named Boo	1971
2353	1030	Strong	2014
2354	1031	I've Been Thinking About You	1990
2355	1032	(Walk Me Out) In The Morning Dew	1981
2356	1033	Do You Remember	1977
2357	1034	Royals	2013
2358	1035	Euphoria	2012
2359	1036	How Many Times	1982
2360	1037	La Malaguena	1973
2361	1038	Black Is Black	1966
2362	1039	Macarena	1996
2363	1040	El Condor Pasa	1970
2364	1041	Maria Elena	1964
2365	1042	La Bamba	1987
2366	1043	I'm Gonna Make You Mine	1969
2367	1044	Lady Love	1977
2368	1044	See You When I Get There	1977
2369	1045	Fine Brown Frame	1989
2370	1046	Intro/Sweet Jane	1974
2371	1046	Perfect Day	1972
2372	1046	Satellite Of Love	1972
2373	1046	Walk On The Wild Side	1973
2374	1047	Hello Dolly	1964
2375	1047	What A Wonderful World	1968
2376	1048	Margrietje	1972
2377	1049	Buona Sera	1958
2378	1050	Everlasting Love	1968
2379	1050	Rainbow Valley	1968
2380	1051	I'm So Glad I'm A Woman	1981
2381	1051	Love Theme	1974
2382	1051	Walking In The Rain	1972
2383	1052	Darling Be Home Soon	1967
2384	1052	Daydream	1966
2385	1052	Rain On The Roof	1966
2386	1052	Summer In The City	1966
2387	1053	Cheek To Cheek	1979
2388	1054	Lost On You	2016
2389	1055	(Everytime I Turn) Back In Love Again	1978
2390	1055	Shine On	1981
2391	1056	What You're Made Of	2004
2392	1057	House For Sale	1975
2393	1058	Colinda	1965
2394	1058	The French song	1964
2395	1059	Despacito	2017
2396	1060	Lay Love On You	1978
2397	1061	7 Years	2015
2398	1062	The Man Who Sold The World	1974
2399	1063	You're The Greatest Lover	1978
2400	1064	Rose Garden	1971
2401	1065	Sugar Me	1972
2402	1065	Won't Somebody Dance With Me	1973
2403	1066	Free Bird	1974
2404	1066	Sweet Home Alabama	1974
2405	1067	Popmuzik	1979
2406	1068	Suicide Is Painless	1970
2407	1069	Dat ik je mis	2013
2408	1070	Red mij niet	2001
2409	1071	Freedom	1972
2410	1072	Can't Hold Us	2012
2411	1073	Same Love	2013
2412	1073	Thrift Shop	2013
2413	1074	Baggy Trousers	1980
2414	1074	Embarrassment	1981
2415	1074	Night Boat To Cairo	1980
2416	1074	One Step Beyond	1979
2417	1074	Our House	1982
2418	1075	Borderline	1986
2419	1075	Crazy For You	1985
2420	1075	Dress You Up	1985
2421	1075	Frozen	1998
2422	1075	Holiday	1984
2423	1075	Hung Up	2005
2424	1075	Into The Groove	1985
2425	1075	La Isla Bonita	1987
2426	1075	Like A Prayer	1989
2427	1075	Like A Virgin	1984
2428	1075	Live To Tell	1986
2429	1075	Material Girl	1985
2430	1075	Open Your Heart	1986
2431	1075	Papa Don't Preach	1986
2432	1075	Ray Of Light	1998
2433	1075	The Power Of Goodbye	1998
2434	1075	Vogue	1990
2435	1076	Terug Naar De Kust	1976
2436	1076	When You're Gone	1975
2437	1077	Airport Song	1970
2438	1077	Lord Of The Ages	1973
2439	1077	Took A Long Time	1976
2440	1078	Am I Losing You Forever	1985
2441	1079	J'me Tire	2013
2442	1080	Lean On	2015
2443	1081	Because I Love	1971
2444	1082	Ole Guapa	1948
2445	1083	Dream A Little Dream Of Me	1968
2446	1084	Do Wah Diddy Diddy	1964
2447	1084	Ha Ha, Said The Clown	1967
2448	1084	Mighty Quinn	1968
2449	1084	Pretty Flamingo	1966
2450	1085	Blinded By The Light	1976
2451	1085	Davy's On The Road Again	1978
2452	1085	Father Of Day Father Of Night	1973
2453	1086	Kiss And Say Goodbye	1976
2454	1087	If You Tolerate This Your Children Will Be Next	1998
2455	1087	Motorcycle Emptiness	1992
2456	1088	Lekker op de Trekker	1991
2457	1089	Me Gustas Tu	2001
2458	1090	Only One Woman	1968
2459	1090	The Walls Fell Down	1969
2460	1091	Walking In Memphis	1991
2461	1092	Blue Moon	1961
2462	1093	Many Rivers To Cross	1982
2463	1094	Afscheid Nemen Bestaat Niet	2003
2464	1094	Binnen	1999
2465	1094	De Bestemming	1998
2466	1094	De Waarheid	1996
2467	1094	Dochters	2008
2468	1094	Dromen Zijn Bedrog	1994
2469	1094	Ik Leef Niet Meer Voor Jou	1996
2470	1094	Je Hoeft Niet Naar Huis Vannacht	1995
2471	1094	Margherita	1996
2472	1094	Mooi	2015
2473	1094	Rood	2006
2474	1094	Speeltuin	1998
2475	1094	Stop De Tijd	2008
2476	1094	Vrij Zijn	1996
2477	1094	Waarom Nou Jij	1994
2478	1094	Waterkant	2010
2479	1094	Wit Licht	2008
2480	1094	Zij	2002
2481	1095	Wat Zou Je Doen	2004
2482	1096	Voorbij	2004
2483	1097	Everytime I Think Of You	2007
2484	1098	Ik zou het zo weer overdoen	2013
2485	1098	Wereld Zonder Jou	1997
2486	1099	We Are Growing	1989
2487	1100	Goodbye To Love	1965
2488	1101	Black Pearl	1982
2489	1102	Show Me Heaven	1990
2490	1103	All This Time	2008
2491	1103	I'm In Love	2009
2492	1103	Just Hold Me	2006
2493	1104	All I Want For Christmas Is You	1994
2494	1104	Hero	1993
2495	1104	I'll Be There	1992
2496	1104	Without You	1994
2497	1105	As Tears Go By	1964
2498	1105	Summer Nights	1965
2499	1105	The Ballad Of Lucy Jordan	1979
2500	1106	Ich Bin Wie Du	1976
2501	1107	Paper Roses	1973
2502	1108	Kayleigh	1985
2503	1108	Lavender	1985
2504	1109	Beautiful People	1996
2505	1110	Move Closer	1986
2506	1111	Worn Down Piano	1977
2507	1112	What It Is	2000
2508	1113	Valerie	2007
2509	1114	Uptown Funk	2014
2510	1115	Nothing Breaks Like A Heart	2018
2511	1116	Lili Marlene	1946
2512	1116	Sag Mir Wo Die Blumen Sind	1963
2513	1117	New Age	2012
2514	1118	Memories	2019
2515	1118	Misery	2010
2516	1118	She Will Be Loved	2004
2517	1118	Sugar	2015
2518	1118	This Love	2004
2519	1119	Moves Like Jagger	2011
2520	1120	Dancing In The City	1978
2521	1121	Animals	2013
2522	1122	In The Name Of Love	2016
2523	1123	Scared To Be Lonely	2017
2524	1124	High On Life	2018
2525	1125	Abergavenny	1968
2526	1126	I Heard It Through The Grapevine	1969
2527	1126	Let's Get It On	1973
2528	1126	Sexual Healing	1982
2529	1126	What's Going On	1971
2530	1127	It Takes Two	1967
2531	1128	Ain't No Mountain High Enough	1967
2532	1129	The Entertainer	1974
2533	1130	Faithful	1971
2534	1130	Lady Of The Morning	1971
2535	1131	Goodbye	1969
2536	1131	Knock Knock Who's There	1970
2537	1131	Those Were The Days	1968
2538	1132	Torn Between Two Lovers	1977
2539	1133	My Guy	1964
2540	1134	Classical Gas	1968
2541	1135	Latin Dance	1978
