id	nev	nem	szuletett	elhunyt	identitas
633	Ting, Samuel C. C.	f	1936		amerikai
634	Gothard Jenő	f	1867	1909	
635	Ravasz László	f	1882	1975	
636	Bolyai Farkas	f	1775	1856	
637	Jireček, Josef	f	1825	1888	cseh
638	Enyedi György	f	1930	2012	
639	Apponyi György	f	1808	1899	
640	Wied, David de	f	1925	2004	holland
641	Jászay Pál	f	1809	1852	
642	Insperger Tamás	f	1976		
643	Weiszfeiler Gyula	f	1902	1984	
644	Márkus György	f	1934	2016	ausztráliai magyar
645	Erman, Adolf	f	1854	1937	német
646	Dékány Imre	f	1946		
647	Doby Géza	f	1877	1968	
648	Keldis, Msztyiszlav Vszevolodovics	f	1911	1978	lett
649	Tschermak, Erich	f	1871	1962	osztrák
650	Köves-Zulauf Tamás	f	1923		németországi magyar
651	Plósz Sándor	f	1846	1925	
652	Téglás Gábor	f	1848	1916	
653	Simon, Wilhelm	f	1929	1992	svájci
654	Erdődy Sándor Lajos	f	1802	1881	
655	Hill, John Edward Christopher	f	1912	2003	angol
656	Bunsen, Robert Wilhelm Eberhard	f	1811	1899	német
657	Rapoport, Samuel Mitja	f	1912	2004	német
658	Wittmann Ferenc	f	1860	1932	
659	Szontagh Gusztáv	f	1793	1858	
660	Ernster László / Ernster, Lars	f	1920	1998	svédországi magyar
661	Hrisztov, Vladimir	f	1902	1979	bolgár
662	Kovács Ferenc	f	1823	1895	
663	Kollár János	f	1945	2011	
664	Beér János Miklós	f	1923	2018	amerikai-magyar
665	Chmel, Joseph	f	1798	1858	osztrák
666	Pauler Gyula	f	1841	1903	
667	Solymos Rezső	f	1929		
668	Dóczi Tamás Péter	f	1949		
669	Rátz István	f	1860	1917	
670	Totik Vilmos	f	1954		
671	Fábry Zsuzsanna	n	1956		amerikai-magyar
672	Vangerow, Karl Adolph von	f	1808	1870	német
673	Downs, Diarmuid	f	1922	2014	angol
674	Simon Sándor	f	1923	1989	
675	Balaban, Alexandru T.	f	1931		román
676	Galgóczy Károly	f	1823	1916	
677	Friss István	f	1903	1976	
678	Dedek Crescens Lajos	f	1862	1933	
679	Åström, Karl Johan	f	1934		svéd
680	Forgó György	f	1787	1835	
681	Balassa Béla	f	1928	1991	amerikai-magyar
682	Staub Móric	f	1842	1914	
683	Caglioti, Luciano	f	1933		olasz
684	Sólyom Jenő	f	1940		
685	Zechmeister László	f	1889	1972	
686	Freycinet, Charles de	f	1828	1923	francia
687	Szász Károly	f	1829	1905	
688	Jacob, François	f	1920	2013	francia
689	Pápay József	f	1939	2017	
690	Nagy Ernő	f	1853	1921	
691	Kedrov, Bonyifatyij Mihajlovics	f	1903	1985	orosz
692	Szalai Sándor	f	1912	1983	
693	Ács J. Zoltán	f	1947		amerikai-magyar
694	Salam, Abdus / Szalám, Abdusz	f	1926	1996	pakisztáni
695	Hahn István	f	1913	1984	
696	Géczy Barnabás	f	1925		
697	Paszlavszky József	f	1846	1919	
698	Brassai Zoltán	f	1935		romániai magyar
699	Klinghammer István	f	1941		
700	Hegedüs Lóránt	f	1872	1943	
701	Moritz, Helmut	f	1933		osztrák
702	Tocqueville, Alexis de	f	1805	1859	francia
703	Karácsonyi János	f	1858	1929	
704	Hampel József	f	1849	1913	
705	Engler, Adolf	f	1844	1930	német
706	Halasi Kun György	f	1916	2011	amerikai-magyar
707	Nagy-Tóth Ferenc	f	1929		romániai magyar
708	Benkő Samu	f	1928		romániai magyar
709	Gaál Jenő	f	1846	1934	
710	Hevesi Gyula	f	1890	1970	
711	Telegdi-Roth Károly	f	1886	1955	
712	Böckh Hugó	f	1874	1931	
713	Petrovics Frigyes Keresztély	f	1799	1836	
714	Papp László	f	1946		
715	Voszka Éva	n	1953		
716	Kudrna, Karel	f	1924	2014	cseh
717	Pátzay Pál	f	1896	1979	
718	Szendrei János	f	1857	1927	
719	Papp Endre	f	1896	1991	nagy-britanniai magyar
720	Pulszky Károly	f	1853	1899	
721	Singer, Wolf	f	1943		német
722	Bragg, William Henry	f	1862	1942	angol
723	Zichy Géza	f	1849	1924	
724	Zemanek, Heinz	f	1920	2014	osztrák
725	Kiss Lajos	f	1922	2003	
726	Sainte-Claire Deville, Henri Étienne	f	1818	1881	francia
727	Warga János	f	1804	1875	
728	Ruzicka, Thomas	f	1952		német
729	Huber, Josef Franz Karl	f	1928	2000	osztrák
730	Telegdy Gyula	f	1935		
731	Finkey Ferenc	f	1870	1949	
732	Fedele, Pietro	f	1873	1943	olasz
733	Erdős G. Ervin	f	1922		amerikai-magyar
734	Fényi Gyula	f	1845	1927	
735	Regnault, Henri Victor	f	1810	1878	francia
736	Pataki József	f	1908	1993	romániai magyar
737	Asbóth János	f	1845	1911	
738	Ussani, Vincenzo	f	1870	1952	olasz
739	Mothes, Kurt	f	1900	1983	német
740	Nyíri János Kristóf	f	1944		
741	Csécsi Nagy Imre	f	1804	1847	
742	Heller Farkas	f	1877	1955	
743	Király Zoltán	f	1925		
744	Toldy Ferenc	f	1805	1875	
745	Apáthy István, ifj.	f	1863	1922	
746	Gács Péter	f	1947		amerikai-magyar
747	Böhm, Jaroslav	f	1901	1962	cseh
748	Tyihonov, Andrej Nyikolajevics	f	1906	1993	orosz
749	Balogh Ernő	f	1890	1964	
750	Nyiry István	f	1776	1838	
751	Schramm, David Norman	f	1945	1997	amerikai
752	Plósz Pál	f	1844	1902	
753	Lovas István	f	1931	2014	
754	Hobsbawm, Eric John Ernest	f	1917	2012	angol
755	Pál Lénárd	f	1925		
756	Károlyi István	f	1797	1881	
757	Kassai József	f	1767	1842	
758	Berzeviczy Albert	f	1853	1936	
759	Zambó János	f	1916	2000	
760	Winkler, Hans	f	1939		osztrák
761	Benz, Walter	f	1931	2017	német
762	Ángyán János	f	1956	2017	franciaországi magyar
763	Auwers, Arthur	f	1838	1915	német
764	Guasti, Cesare	f	1822	1889	olasz
765	Burgdörfer, Joachim	f	1953		osztrák
766	Freyer, Hans	f	1887	1969	német
767	Náray-Szabó Gábor	f	1943		
768	Miskolczy Dezső	f	1894	1978	
769	Pott, August Friedrich	f	1802	1887	német
770	Csányi Dániel	f	1820	1867	
771	Ómura Jutaka	f	1925		japán
772	Bártfai Tamás	f	1948		svédországi magyar
773	Ballagi Aladár	f	1853	1928	
774	Saked Saul	f	1933		izraeli magyar
775	Dubinyin, Mihail Mihajlovics	f	1901	1993	orosz
776	Nagy Imre	f	1896	1958	
777	Mitra, Radzsendra Lal	f	1824	1891	indiai
778	Házi Jenő	f	1892	1986	
779	Rónay Jácint	f	1814	1889	
780	Klerić, Ljubomir	f	1844	1910	szerb
781	Gadamer, Hans-Georg	f	1900	2002	német
782	Haddow, Alexander	f	1907	1976	skót
783	Kolossváry Sándor	f	1775	1842	
784	Törő Imre	f	1900	1993	
785	Bárczi Géza	f	1894	1975	
786	Budenz József	f	1836	1892	
787	Makara B. Gábor	f	1939		
788	Balogh Kálmán	f	1835	1888	
789	Szász Béla	f	1840	1898	
790	Sieghart, Werner	f	1945		osztrák
791	Harmatta János	f	1917	2004	
792	Tóth Lajos	f	1876	1936	
793	Kaptay György	f	1960		
794	Kronecker, Hugo	f	1839	1914	német
795	Czech János	f	1798	1854	
796	Szabó István	f	1801	1892	
797	Gabelentz, Hans Conon von der	f	1807	1874	német
798	Hoppe, Gunnar	f	1914	2005	svéd
799	Hoff Miklós	f	1906	1997	amerikai-magyar
800	Theiss Ede	f	1899	1979	
801	Bölöni Farkas Sándor	f	1795	1842	
802	Sós József	f	1906	1973	
803	Nitti, Francesco Saverio	f	1868	1953	olasz
804	Pach Zsigmond Pál	f	1919	2001	
805	Schmidt, Erich	f	1853	1913	német
806	Illyefalvi I. Lajos	f	1881	1944	
807	Csernokolev, Titko	f	1910	1965	bolgár
808	Mittag-Leffler, Magnus Gösta	f	1846	1927	svéd
809	Mednyánszky Dénes	f	1830	1911	
810	Nagy Gergely / Nagy, Gregory	f	1942		amerikai-magyar
811	Lakó György	f	1908	1996	
812	Szablya János	f	1924	2005	amerikai-magyar
813	Márki Sándor	f	1853	1925	
814	Kubinyi Ágoston	f	1799	1873	
815	Golden, Peter B.	f	1941		amerikai
816	Szabó Kálmán	f	1921	2007	
817	Kahane, Jean-Pierre	f	1926	2017	francia
818	Rabó Gyula	f	1924	2016	amerikai-magyar
819	Galambos János	f	1940		amerikai-magyar
820	Grosschmid Lajos	f	1886	1940	
821	Krohn, Kaarle Leopold	f	1863	1933	finn
822	Pálinkás Gábor	f	1941		
823	Petényi Géza	f	1889	1965	
824	Kertész Kálmán	f	1867	1922	
825	Lukács József	f	1925	2017	
826	Savić, Pavle	f	1909	1994	szerb
827	Szabó Dezső	f	1882	1966	
828	Geremek, Bronisław	f	1932	2008	lengyel
829	Stier, Heinrich Christoph Gottlieb	f	1825	1896	német
830	Brassai Sámuel	f	1797	1897	
831	Földes Béla	f	1848	1945	
832	Paur Iván	f	1805	1888	
833	Parhon, Constantin Ion	f	1874	1969	román
834	Monod, Gabriel	f	1844	1912	francia
835	Ábel Jenő	f	1858	1889	
836	Eren, Hasan	f	1919	2007	török
837	Fehér Ipoly Kálmán	f	1842	1909	
838	Grünwald Béla	f	1839	1891	
839	Young, Lai-Sang	f	1952		amerikai
840	Moravcsik M. Gyula / Moravcsik, Julius M.	f	1931	2009	amerikai-magyar
841	Nagy Géza	f	1855	1915	
842	Berényi Dénes	f	1928	2012	
843	Zólyomi Bálint	f	1908	1997	
844	Gerevich László	f	1911	1997	
845	Varga Ottó	f	1909	1969	
846	Csathó Kálmán	f	1881	1964	
847	Gondol Dániel	f	1815	1891	
848	Környey István	f	1901	1988	
849	Télfy Iván	f	1816	1898	
850	Radnót Magda	n	1911	1989	
851	Károlyi Gyula	f	1871	1947	
852	Sáringer Gyula	f	1928	2009	
853	Fodor Géza	f	1927	1977	
854	Blaydes, Frederick Henry Marvell	f	1818	1908	angol
855	Bognár András	f	1937	2019	horvátországi magyar
856	Szabó Árpád	f	1913	2001	
857	Pléh Csaba	f	1945		
858	Csaplár Benedek	f	1821	1906	
859	Fejes Tóth László	f	1915	2005	
860	Kesztyűs Loránd	f	1915	1979	
861	Lichtenthaler, Frieder W.	f	1932	2018	német
862	Barna Ferdinánd	f	1825	1895	
863	Foiaş, Ciprian Ilie	f	1933		amerikai-román
864	Nagy József Béla	f	1884	1967	
865	Kalai, Gil	f	1955		izraeli
866	Pap László	f	1943		
867	Henle, Friedrich Gustav Jakob	f	1809	1885	német
868	Csikai Gyula	f	1930		
869	Kaliszky Sándor	f	1927	2016	
870	Szlemenics Pál	f	1783	1856	
871	Major György	f	1941		
872	Horváth József	f	1794	1849	
873	Prohászka János	f	1920	2012	
874	Pólya György / Pólya, George	f	1887	1985	amerikai-magyar
875	Pálné Kovács Ilona	n	1954		
876	Kenéz Béla	f	1874	1946	
877	Müller Iván / Mueller, Ivan	f	1930		amerikai-magyar
878	Mehra, Narinder Kumar	f	1949		indiai
879	Várkonyi Ágnes, R.	n	1928	2014	
880	Somosi János	f	1783	1855	
881	Bitnitz Lajos	f	1790	1871	
882	Edvi Illés Pál	f	1793	1871	
883	Engel József	f	1807	1870	
884	Buchböck Gusztáv	f	1869	1935	
885	Szendrő Zsolt	f	1947		
886	Ónodi Adolf	f	1857	1919	
887	Kononov, Andrej Nyikolajevics	f	1906	1986	orosz
888	Poncelet, Jean-Victor	f	1788	1867	francia
889	Pálfy Móric	f	1871	1930	
890	Waltherr László Imre	f	1788	1863	
891	Deák István	f	1926		amerikai-magyar
892	Thomson, William	f	1824	1907	skót
893	Torres Yribar, Wilfredo	f	1933		kubai
894	Keserű György Miklós	f	1967		
895	Kuthy Sándor	f	1904	1971	
896	Ambrus Gyula	f	1924		amerikai-magyar
897	Thoma, Manfred	f	1929	2014	német
898	Horváth Cirill József	f	1865	1941	
899	Barsi József	f	1810	1893	
900	Proszt János	f	1892	1968	
901	Rácz Zoltán	f	1946		
902	Diczfalusy Egon	f	1920	2016	svédországi magyar
903	Karvasy Ágoston	f	1809	1896	
904	Sohár Pál	f	1936		
905	Bayer József	f	1851	1919	
906	Kozma C. Sára	n	1952		amerikai-magyar
907	Hauser Arnold	f	1892	1978	
908	Szabó Zoltán	f	1882	1944	
909	Lesage, Michel	f	1933	2009	francia
910	Hanzó Lajos	f	1952		nagy-britanniai magyar
911	Vámossy Zoltán	f	1868	1953	
912	Rákosi Jenő	f	1842	1929	
913	Pulszky Ferenc	f	1814	1897	
914	Gromov, Mihail Leonyidovics / Gromov, Mikhaïl	f	1943		orosz-francia
915	Nagy János, B.	f	1941		belgiumi magyar
916	Sejndlin, Alekszandr Jefimovics	f	1916	2017	orosz
917	Palánkai Tibor	f	1938		
918	Gécseg Ferenc	f	1939	2014	
919	Vizkelety András	f	1931		
920	Ballagi Mór	f	1815	1891	
921	Wüthrich, Kurt	f	1938		svájci
922	Hámori József	f	1932		
923	Dumas, Jean-Baptiste	f	1800	1884	francia
924	Zemplén Géza	f	1883	1956	
925	Agassiz, Louis	f	1807	1873	amerikai
926	Fallmerayer, Jakob Philipp	f	1790	1861	osztrák
927	Trencsényi-Waldapfel Imre	f	1908	1970	
928	Valiani, Leo	f	1909	1999	olasz
929	Holló János	f	1919	2012	
930	Garay András	f	1926	2005	
931	Mézes Miklós	f	1953		
932	Thallóczy Lajos	f	1854	1916	
933	Ihász Mihály	f	1931	2002	
934	Samassa József	f	1828	1912	
935	Gnoli, Gherardo	f	1937	2012	olasz
936	Ottenthal, Emil von	f	1855	1931	osztrák
937	Markó László	f	1928		
938	Huillard-Bréholles, Jean-Louis-Alphonse	f	1817	1871	francia
939	Dávidházi Péter	f	1948		
940	Frivaldszky János	f	1822	1895	
941	Lapradelle, Albert Geouffre de	f	1871	1955	francia
942	Alföldy Géza	f	1935	2011	németországi magyar
943	Lóránd László	f	1923	2018	amerikai-magyar
944	Inkey Béla	f	1847	1921	
945	Buday László	f	1873	1925	
946	Erdélyi László Gyula	f	1868	1947	
947	Domanovszky Sándor	f	1877	1955	
948	Lengyel Géza	f	1884	1965	
949	Kopácsy József	f	1775	1847	
950	Cicin, Nyikolaj Vasziljevics	f	1898	1980	orosz
951	Dankó József Károly	f	1829	1895	
952	Vigh László	f	1950		
953	Haselsteiner, Horst	f	1942	2019	osztrák
954	Prékopa András	f	1929	2016	
955	Pompéry János	f	1819	1884	
956	Leslie, John F.	f	1953		amerikai
957	Mac Key, James	f	1919	2016	svéd
958	Joannovics György	f	1821	1909	
959	Kemény Zsigmond	f	1814	1875	
960	Petrichevich-Horváth Lázár	f	1807	1851	
961	Rédei György Pál	f	1921	2008	amerikai-magyar
962	Klein Gyula Lipót / Klein, Julius Leopold	f	1804	1876	magyar származású német
963	Verő József	f	1933		
964	Schneller István	f	1847	1939	
965	Révész Pál	f	1934		
966	Taylor, Alan John Percival	f	1906	1990	angol
967	Näätänen, Risto	f	1939		finn
968	Domokos Péter	f	1970		
969	Rybár István	f	1886	1971	
970	Ormós Zsigmond	f	1813	1894	
971	Zieme, Peter	f	1942		német
972	Czobor Béla	f	1852	1904	
973	Fodor Gábor Béla	f	1915	2000	
974	Kúnos Ignác	f	1860	1945	
975	Plas, Henk van der	f	1929		holland
976	Schirkhuber Móric	f	1807	1877	
977	Korach Mór	f	1888	1975	
978	Halász Gábor	f	1941		
979	Imre János	f	1790	1832	
980	Szőnyi Pál	f	1808	1878	
981	Vajna Zoltán	f	1928		
982	Laufenauer Károly	f	1848	1901	
983	Mojzsis István / Mojzsis, Stephen J.	f	1965		amerikai-magyar
984	Forró László	f	1955		svájci magyar
985	Pásztor Emil	f	1926	2015	
986	Ullrich, Axel	f	1943		német
987	Kovács László	f	1939		
988	Zlinszky Aladár	f	1864	1941	
989	Oláh Edit	n	1947		
990	Kovács Sebestény Endre	f	1814	1878	
991	Mezey Pál / Mezey, Paul G.	f	1943		kanadai magyar
992	Grafarend, Erik W.	f	1939		német
993	Hardy Gyula	f	1928	1988	
994	Brusina, Spiridion	f	1845	1908	horvát
995	Festetics György	f	1815	1883	
996	Bárány Nándor	f	1899	1977	
997	Jendrassik György	f	1898	1954	
998	Mészáros András	f	1949		szlovákiai magyar
999	Cseh-Szombathy László	f	1925	2007	
1000	Haller György	f	1965		svájci magyar
1001	De Gerando Ákos	f	1819	1849	francia
1002	Hồ Tôn Trinh	f	1920	2011	vietnámi
1003	Szmirnov, Vlagyimir Ivanovics	f	1910	1988	orosz
1004	Thurau, Klaus	f	1928	2018	német
1005	Esterházy Pál	f	1901	1989	
1006	Krumbacher, Karl	f	1856	1909	német
1007	Gyulassy Miklós	f	1949		amerikai-magyar
1008	Hernád István Róbert	f	1945		kanadai magyar
1009	Brezsnyev, Dmitrij Danyilovics	f	1905	1982	orosz
1010	Szabó János	f	1920	2012	
1011	Esterházy Miklós	f	1869	1920	
1012	Kazinczy Ferenc	f	1759	1831	
1013	Ritoók Zsigmond	f	1929		
1014	Buzágh Aladár	f	1895	1962	
1015	Gáti István	f	1922	2007	
1016	Rédei László	f	1900	1980	
1017	Korizmics László	f	1816	1886	
1018	Ylinen, Arvo Albin Johannes	f	1902	1975	finn
1019	Stark Ervin	f	1922	1995	
1020	Benedikt Ottó	f	1897	1975	
1021	Rubinyi Mózes	f	1881	1965	
1022	Setälä, Eemil Nestor	f	1864	1935	finn
1023	Mark, Julius	f	1890	1959	észt
1024	Lukács György	f	1885	1971	
1025	Zsidó László	f	1946		olaszországi magyar
1026	Stumme, Hans	f	1864	1936	német
1027	Sabin, Albert Bruce	f	1906	1993	amerikai
1028	Pivány Jenő / Pivany, Eugene	f	1873	1946	amerikai-magyar
1029	Balevszki, Angel Toncsev	f	1910	1997	bolgár
1030	Mahunka Sándor	f	1937	2012	
1031	Arneth, Alfred von	f	1819	1897	osztrák
1032	Imre Sándor	f	1969		
1033	Kondorosi Ádám	f	1946	2011	
1034	Adhija, Szankar	f	1937		indiai
1035	Jakó Géza	f	1930	2015	amerikai-magyar
1036	Kun Ferenc	f	1966		
1037	Alszeghy Zsolt	f	1888	1970	
1038	Alekszandrov, Anatolij Petrovics	f	1903	1994	orosz
1039	Müller, Friedrich	f	1834	1898	osztrák
1040	Arany János	f	1817	1882	
1041	Valentinelli, Giuseppe	f	1805	1874	olasz
1042	Huszti József	f	1887	1954	
1043	Itkonen, Erkki	f	1913	1992	finn
1044	Kolmogorov, Andrej Nyikolajevics	f	1903	1987	orosz
1045	Fejér Lipót	f	1880	1959	
1046	Udvardy Ignác	f	1810	1874	
1047	Hunyady László	f	1959		
1048	Vikár Béla	f	1859	1945	
1049	Zahn, Friedrich	f	1869	1946	német
1050	Ross, Edward Denison	f	1871	1940	angol
1051	Genersich Antal	f	1842	1918	
1052	Mészáros Imre	f	1811	1865	
1053	Petri Gábor	f	1914	1985	
1054	Bélády László	f	1928		amerikai-magyar
1055	Cernătescu, Radu	f	1894	1958	román
1056	Porter, George	f	1920	2002	angol
1057	Haan Lajos	f	1818	1891	
1058	Teleszky János	f	1868	1939	
1059	Grote, Arthur	f	1814	1886	angol
1060	Gelenbe, Sami Erol	f	1945		török
1061	Korányi Ádám	f	1932		amerikai-magyar
1062	Alexander Bernát	f	1850	1927	
1063	Kőrösy József	f	1844	1906	
1064	Kasztori Rudolf	f	1935		szerbiai magyar
1065	Benfey, Theodor	f	1809	1881	német
1066	Szkalnitzky Antal	f	1836	1878	
1067	Somogyi Károly	f	1811	1888	
1068	Patterson, Arthur J.	f	1835	1899	angol
1069	Kováts Gyula	f	1815	1873	
1070	Böckh János	f	1840	1909	
1071	Szabó Ferenc	f	1926	2002	
1072	Steinitz, Wolfgang	f	1905	1967	német
1073	Kherndl Antal	f	1842	1919	
1074	Katz Sándor	f	1975		
1075	Romics László	f	1936	2011	
1076	Keleti Tamás	f	1927	1989	
1077	Hargittai István	f	1941		
1078	Papp Simon	f	1886	1970	
1079	Csumakov, Mihail Petrovics	f	1909	1993	orosz
1080	Petz Gedeon	f	1863	1943	
1081	Paládi-Kovács Attila	f	1940		
1082	Juhász Tibor	f	1958		amerikai-magyar
1083	Andrássy György	f	1797	1872	
1084	Lajtha Ábel	f	1922		amerikai-magyar
1085	Kudrjavcev, Vlagyimir Nyikolajevics	f	1923	2007	orosz
1086	Pap István	f	1915	1994	romániai magyar
1087	Mill, John Stuart	f	1806	1873	skót
1088	Mihály László	f	1949		amerikai-magyar
1089	Somhegyi Ferenc	f	1813	1879	
1090	Sztipanovits János	f	1946		amerikai-magyar
1091	Bugarszky István	f	1868	1941	
1092	Pápay József	f	1873	1931	
1093	Brandi, Karl	f	1868	1946	német
1094	Kiss István	f	1926	2004	romániai magyar
1095	Bori Imre	f	1929	2004	szerbiai magyar
1096	Berkowitz, Ross Stuart	f	1949		amerikai
1097	Csik Lajos	f	1902	1962	
1098	Olivecrona, Knut	f	1817	1905	svéd
1099	Southwood, Thomas Richard Edmund	f	1931	2005	angol
1100	Szabolcsi Miklós	f	1921	2000	
1101	Illés Sándor Tamás	f	1958		franciaországi magyar
1102	Krausz Ferenc	f	1962		németországi magyar
1103	Csűrös István	f	1914	1998	romániai magyar
1104	Goodman, Robert Norman	f	1923	1999	amerikai
1105	Módy István / Mody, Istvan	f	1957		amerikai-magyar
1106	Naumann, Manfred	f	1925	2014	német
1107	Leskien, August	f	1840	1916	német
1108	Szabó Gábor	f	1954		
1109	Garas Klára	n	1919	2017	
1110	Broca, Pierre Paul	f	1824	1880	francia
1111	Bárdossy György	f	1925	2013	
1112	Vargha Damján György	f	1873	1956	
1113	Salamon Miklós	f	1933	2009	amerikai-magyar
1114	Arányi Lajos György	f	1812	1887	
1115	Vinogradov, Alekszandr Pavlovics	f	1895	1975	orosz
1116	Pozsony Ferenc	f	1955		romániai magyar
1117	Egerváry Jenő	f	1891	1958	
1118	Vizaknai Antal	f	1863	1911	
1119	Arató Péter	f	1942		
1120	Lépine-Szily Alinka	f	1942		brazíliai magyar
1121	Ragályi Tamás	f	1785	1849	
1122	Pertik Ottó	f	1852	1913	
1123	Irk Albert	f	1884	1952	
1124	Oppert, Jules	f	1825	1905	francia
1125	Kovács Melinda	n	1959		
1126	Kálmán Béla	f	1913	1997	
1127	Varga Béla	f	1886	1942	romániai magyar
1128	Porkoláb Miklós	f	1939		amerikai-magyar
1129	Capasso, Bartolomeo	f	1815	1900	olasz
1130	Angyal István János / Angyal, Stephen John	f	1914	2012	ausztráliai magyar
1131	Kőnig Gyula	f	1849	1913	
1132	Péchy Imre	f	1753	1841	
1133	Hajós György	f	1912	1972	
1134	Weninger Vince	f	1834	1879	
1135	Platz Bonifác Ferenc	f	1848	1919	
1136	Dessewffy József	f	1771	1843	
1137	Horváth József Elek	f	1784	1835	
1138	Oppolzer, Theodor von	f	1841	1886	osztrák
1139	Fenyves Ervin	f	1924	2014	amerikai-magyar
1140	Gombosi Tamás	f	1947		amerikai-magyar
1141	Gyarmati István	f	1929	2002	
1142	Győrffy Balázs	f	1938	2012	nagy-britanniai magyar
1143	Major Péter	f	1947		
1144	Fabriczy Sámuel	f	1771	1858	
1145	Beznák Aladár	f	1901	1959	
1146	Torma Károly	f	1829	1897	
1147	Kahneman, Daniel	f	1934		amerikai
1148	Pataki Ferenc	f	1928	2015	
1149	Gulyás Pál	f	1881	1963	
1150	Pasteur, Louis	f	1822	1895	francia
1151	Riesz Frigyes	f	1880	1956	
1152	Frühling János	f	1937	2015	belgiumi magyar
1153	Baintner János	f	1815	1881	
1154	Verebélÿ László	f	1883	1959	
1155	Soó Rezső	f	1903	1980	
1156	Bury, John Bagnell	f	1861	1927	ír
1157	Révész Géza	f	1878	1955	hollandiai magyar
1158	Harkányi Béla	f	1869	1932	
1159	Barton, Derek	f	1918	1998	angol
1160	Palkovics László	f	1965		
1161	Zsdanov, Viktor Mihajlovics	f	1914	1988	orosz
1162	Ewald, Georg Heinrich August	f	1803	1875	német
1163	Szabolcska Mihály	f	1861	1930	
1164	Heinlein István	f	1874	1945	
1165	Glatz Ferenc	f	1941		
1166	Szászy-Schwarz Gusztáv	f	1858	1920	
1167	Haranghy László	f	1897	1975	
1168	Kovács István	f	1921	1990	
1169	Ray-Chaudhuri, Dwijendra K.	f	1933		amerikai-indiai
1170	Gaillard, Pieter Johannes	f	1907	1992	holland
1171	Gratz Gusztáv	f	1875	1946	
1172	Tolnai Vilmos	f	1870	1937	
1173	Heller Ágnes	n	1929	2019	
1174	Danielik Nepomuk János	f	1817	1888	
1175	Pettkó János	f	1812	1890	
1176	Dimitrakopúlosz, Rúszosz	f	1958		görög-kanadai
1177	Battaglini, Giulio	f	1885	1961	olasz
1178	Julesz Miklós	f	1904	1972	
1179	Mészáros Péter	f	1943		amerikai-magyar
1180	Zichy Antal	f	1823	1898	
1181	Kalecsinszky Sándor	f	1857	1911	
1182	Jakab Ödön	f	1854	1931	
1183	Sperber, Dan	f	1942		francia
1184	Fleischer, Maximilian	f	1961		német
1185	Romhányi György	f	1905	1991	
1186	Thúry József	f	1861	1906	
1187	Durand-Delga, Michel	f	1923	2012	francia
1188	Krajner Imre	f	1791	1875	
1189	Huszár Tibor	f	1930		
1190	Kenesei István	f	1947		
1191	Lavisse, Ernest	f	1842	1922	francia
1192	Gömöri Pál	f	1905	1973	
1193	Gauss, Carl Friedrich	f	1777	1855	német
1194	Stoczek József	f	1819	1890	
1195	Görög Demeter	f	1760	1833	
1196	Tariska István	f	1915	1989	
1197	Tálasi István	f	1910	1984	
1198	Telegdi Bálint / Telegdi, Valentine	f	1922	2006	amerikai-magyar
1199	Kiefer Ferenc	f	1931		
1200	Récsi Emil	f	1822	1864	
1201	Károlyi György	f	1802	1877	
1202	Gyalókay Jenő	f	1874	1945	
1203	Kertész András Lajos	f	1956		
1204	Kriza János	f	1811	1875	
1205	Weidenfeld, Werner	f	1947		német
1206	Rázsó Imre	f	1904	1964	
1207	Kantorovics, Leonyid Vitaljevics	f	1912	1986	orosz
1208	Petersen, Ole	f	1943		dán
1209	Dennett, Daniel Clement	f	1942		amerikai
1210	Meister, Richard	f	1881	1964	osztrák
1211	Czinár Mór Pál	f	1787	1875	
1212	Pretsch Ernő	f	1942		svájci magyar
1213	Poór Gyula	f	1952		
1214	Rajkai Kálmán	f	1951		
1215	Vitális István	f	1871	1947	
1216	Hadzidákisz, Geórgiosz	f	1848	1941	görög
1217	Balás P. Elemér	f	1883	1947	
1218	Galavics Géza	f	1940		
1219	Tardos Éva	n	1957		amerikai-magyar
1220	Márkfi Sámuel	f	1811	1861	
1221	Martos Ferenc	f	1918	1989	
1222	Biró Ferenc	f	1904	2006	
1223	Tétényi Pál	f	1929		
1224	Stubbe, Hans	f	1902	1989	német
1225	Worsaae, Jens Jacob Asmussen	f	1821	1885	dán
1226	Oroszlán István	f	1927		amerikai-magyar
1227	Kliburszkyné Vogl Mária	n	1912	1996	
1228	Mészöly Gedeon	f	1880	1960	
1229	Markó Árpád	f	1885	1966	
1230	Szalai István	f	1816	1878	
1231	Halver, John Emil	f	1922	2012	amerikai
1232	Kukuljević Sakcinski, Ivan	f	1816	1889	magyarországi horvát
1233	Kardos Tibor	f	1908	1973	
1234	Jakabffy Elemér	f	1881	1963	romániai magyar
1235	Novak, Grga	f	1888	1978	horvát
1236	Wolsky Sándor	f	1902	2004	
1237	Leontyjev, Alekszej Nyikolajevics	f	1903	1979	orosz
1238	Bodor Miklós	f	1939		amerikai-magyar
1239	Grastyán Endre	f	1924	1988	
1240	Fónagy Péter	f	1952		nagy-britanniai magyar
1241	Klauzál Imre	f	1799	1847	
1242	Varga Pál, S.	f	1955		
1243	Szögyény-Marich László, id.	f	1806	1893	
1244	Bogisich Mihály	f	1839	1919	
1245	Kollár Lajos	f	1926	2004	
1246	Kecskeméti Gábor	f	1965		
1247	Badics Ferenc	f	1854	1939	
1248	Sinkovics G. József	f	1924		amerikai-magyar
1249	Szabad György	f	1924	2015	
