id	tagid	tipus	ev
1401	2890	l	1940
1402	868	l	1973
1403	1658	l	1987
1404	728	t	2010
1405	2777	l	2010
1406	2163	t	1988
1407	2307	k	2013
1408	547	t	1934
1409	61	l	1946
1410	2236	t	1871
1411	1175	l	1861
1412	1385	t	1936
1413	187	t	1858
1414	38	t	1979
1415	2263	l	1965
1416	898	r	1925
1417	1280	l	1882
1418	1108	r	2010
1419	1679	r	1976
1420	2255	r	1973
1421	2192	t	1858
1422	438	r	2007
1423	2770	r	2007
1424	2638	r	2013
1425	237	t	1934
1426	1002	t	1979
1427	2114	l	1985
1428	1170	t	1973
1429	2420	t	2016
1430	1867	r	1962
1431	3177	r	1995
1432	2425	l	2013
1433	211	r	1985
1434	2502	r	2010
1435	123	t	1979
1436	1111	r	1998
1437	2365	r	1907
1438	1418	k	2004
1439	2601	l	1833
1440	2403	r	2007
1441	3193	l	1990
1442	48	t	2010
1443	1814	l	1895
1444	660	t	1981
1445	1084	k	1990
1446	1506	k	1928
1447	844	r	1973
1448	2508	l	1908
1449	1818	l	1987
1450	175	l	2019
1451	328	r	1923
1452	2848	l	1837
1453	726	t	1881
1454	458	l	1925
1455	117	l	1922
1456	910	k	2016
1457	2358	k	1998
1458	2255	l	1965
1459	889	l	1915
1460	1783	l	1917
1461	1750	l	1858
1462	1502	t	1932
1463	2745	l	1987
1464	3039	r	1987
1465	2876	r	2007
1466	2152	l	1905
1467	2266	t	1871
1468	2294	r	1932
1469	2262	l	1891
1470	1133	r	1953
1471	2987	t	1998
1472	2322	t	1979
1473	2648	l	1896
1474	2308	t	1906
1475	1063	l	1879
1476	2629	r	2013
1477	517	r	1990
1478	1464	t	1998
1479	2682	t	1983
1480	695	l	1979
1481	1440	k	2007
1482	2740	r	2004
1483	2732	l	1888
1484	1592	r	2013
1485	30	l	1914
1486	2948	l	1976
1487	2012	r	1946
1488	1019	l	1973
1489	1177	t	1939
1490	469	k	2019
1491	2477	r	1830
1492	1856	r	1955
1493	2576	t	1973
1494	2069	t	1868
1495	2912	r	1945
1496	1285	r	1982
1497	2233	t	1894
1498	1917	r	2007
1499	2315	k	1833
1500	251	r	1982
1501	581	l	1967
1502	959	l	1843
1503	74	r	1930
1504	1033	l	1990
1505	436	l	1927
1506	96	t	1993
1507	1060	t	2010
1508	1218	l	2001
1509	3016	k	2016
1510	237	l	1897
1511	2909	k	2001
1512	462	l	1995
1513	1405	l	1863
1514	1854	t	1979
1515	3155	l	1858
1516	521	l	1990
1517	2286	k	2004
1518	1864	l	1973
1519	2600	l	1993
1520	2469	l	1990
1521	2621	r	1970
1522	991	k	1998
1523	19	t	1979
1524	1554	l	1858
1525	65	l	1861
1526	1365	t	1890
1527	1125	r	2019
1528	1879	k	2010
1529	1257	r	1946
1530	908	l	1932
1531	317	r	1961
1532	2744	t	1948
1533	2215	l	1922
1534	2826	l	1956
1535	1902	l	1888
1536	1973	l	1858
1537	883	l	1859
1538	3085	l	1967
1539	320	t	1896
1540	1916	t	2004
1541	1180	t	1877
1542	2764	l	1884
1543	1463	t	1940
1544	2631	r	1958
1545	256	l	1938
1546	2536	l	1967
1547	2749	t	1889
1548	3177	l	1990
1549	2610	l	2007
1550	2002	r	1993
1551	1902	r	1907
1552	1889	l	1995
1553	300	t	1874
1554	510	r	2004
1555	444	l	1961
1556	2598	k	1990
1557	2839	l	1973
1558	34	l	1874
1559	3002	l	1939
1560	1269	l	2010
1561	1994	l	1915
1562	1467	l	1943
1563	251	l	1967
1564	1779	r	1995
1565	1450	k	2013
1566	369	r	1976
1567	217	r	1880
1568	1395	t	1986
1569	3059	t	2007
1570	2071	r	1935
1571	3138	t	1993
1572	1537	r	1956
1573	2748	t	1979
1574	2642	t	1965
1575	1714	k	1998
1576	1660	l	1896
1577	2159	l	1908
1578	791	l	1970
1579	2689	r	1884
1580	2712	r	1961
1581	2247	l	1964
1582	2393	t	1925
1583	2154	l	2001
1584	2001	t	1897
1585	1541	l	2010
1586	129	l	2016
1587	3202	t	1932
1588	918	l	1987
1589	2498	l	1982
1590	1359	t	2004
1591	1914	r	1991
1592	1220	l	1860
1593	789	l	1883
1594	211	l	1976
1595	2523	l	1896
1596	2603	l	1958
1597	2017	l	1859
1598	2311	t	1940
1599	3183	r	1890
1600	1085	t	1979
1601	1276	l	1973
1602	478	t	1958
1603	3105	r	1934
1604	2456	r	1970
1605	3090	r	1990
1606	983	k	2016
1607	3127	t	1844
1608	855	k	1998
1609	2319	r	1874
1610	420	t	1903
1611	2125	l	2004
1612	124	t	1976
1613	217	l	1863
1614	1792	l	1905
1615	1825	r	1937
1616	388	k	1869
1617	558	t	1995
1618	1213	l	2019
1619	1333	l	1879
1620	2714	r	1907
1621	1426	t	1998
1622	1993	l	1905
1623	1045	r	1930
1624	2635	l	1935
1625	1292	t	1874
1626	2526	t	2001
1627	2739	l	2004
1628	1091	l	1899
1629	740	r	2001
1630	1991	t	1973
1631	447	t	1913
1632	2011	l	1859
1633	754	t	1979
1634	2915	r	1951
1635	283	l	1844
1636	2532	t	1930
1637	1397	r	1979
1638	2692	r	1979
1639	536	k	2007
1640	1431	l	1976
1641	2392	r	2013
1642	2132	t	2004
1643	457	t	1973
1644	115	l	1967
1645	2225	l	2004
1646	2417	t	1930
1647	776	r	1953
1648	3142	t	1844
1649	2856	l	1896
1650	933	l	1990
1651	2913	l	1832
1652	2167	l	2001
1653	1821	r	1873
1654	884	l	1907
1655	1657	l	1967
1656	1825	l	1925
1657	1534	r	1982
1658	1842	r	1875
1659	3145	k	1998
1660	1378	r	1948
1661	212	l	1917
1662	222	l	1973
1663	1099	t	1998
1664	341	l	1993
1665	6	t	2007
1666	1003	t	1988
1667	1838	r	1976
1668	1297	r	1910
1669	980	l	1846
1670	1108	l	2004
1671	472	k	1993
1672	3115	l	1927
1673	72	l	1990
1674	1843	t	1937
1675	2554	r	1979
1676	2146	k	2019
1677	2729	l	1833
1678	2296	l	1945
1679	973	r	1955
1680	153	r	1832
1681	2919	l	1985
1682	2967	k	1993
1683	2594	l	1945
1684	2475	k	1998
1685	710	l	1949
1686	314	l	1832
1687	2449	l	1884
1688	1398	r	1973
1689	2679	l	1832
1690	1100	l	1965
1691	800	l	1945
1692	594	l	1926
1693	1608	l	1846
1694	131	l	2019
1695	963	r	2001
1696	2966	r	1998
1697	1314	l	1925
1698	494	l	1906
1699	1864	r	1985
1700	493	k	1928
1701	1010	r	1979
1702	1190	l	2016
1703	1865	l	1976
1704	812	k	2001
1705	1024	r	1949
1706	1296	t	1986
1707	279	t	1983
1708	2550	l	1839
1709	386	t	1873
1710	3224	r	1976
1711	1932	t	1921
1712	1567	r	1830
1713	1867	l	1948
1714	2283	l	1946
1715	3110	l	1927
1716	2500	r	1995
1717	1729	l	2013
1718	2350	r	1948
1719	2866	r	1943
1720	1658	r	1993
1721	468	l	1833
1722	2338	l	2016
1723	3157	l	2016
1724	453	l	1859
1725	2993	l	1920
1726	1530	k	1993
1727	3129	t	2007
1728	647	r	1946
1729	906	k	2007
1730	610	k	2001
1731	2504	r	1990
1732	397	l	1888
1733	71	r	1993
1734	297	l	1998
1735	888	t	1847
1736	1767	r	1945
1737	2790	l	1985
1738	1681	l	1858
1739	378	t	2004
1740	1403	t	1875
1741	2206	l	1998
1742	1355	k	1993
1743	2964	r	1891
1744	1601	l	1970
1745	831	t	1933
1746	2932	t	2001
1747	1990	l	1929
1748	516	l	1945
1749	2262	r	1915
1750	59	l	1933
1751	2176	l	1836
1752	81	r	1950
1753	3017	l	1873
1754	2900	l	2013
1755	1411	r	2010
1756	1009	t	1973
1757	1862	t	2007
1758	1104	t	1986
1759	556	l	1973
1760	1225	t	1872
1761	700	l	1920
1762	2739	r	2010
1763	975	t	2004
1764	684	r	1993
1765	1122	l	1899
1766	2963	l	1933
1767	2472	r	1962
1768	1611	t	2013
1769	1758	l	1868
1770	47	t	2001
1771	1604	r	1982
1772	33	r	2004
1773	2005	k	2004
1774	2079	l	2001
1775	3064	r	2001
1776	2802	l	1905
1777	2244	t	1863
1778	2103	l	1932
1779	1334	l	1940
1780	1586	l	1985
1781	165	t	1979
1782	696	r	1998
1783	452	r	1982
1784	687	r	1869
1785	750	l	1831
1786	1576	l	1846
1787	1755	t	1832
1788	1354	k	2019
1789	2452	r	2007
1790	1343	t	1998
1791	305	r	2001
1792	785	r	1947
1793	1424	t	2019
1794	341	r	1998
1795	1121	t	1831
1796	2902	r	1889
1797	100	l	1872
1798	1533	r	1888
1799	1046	l	1858
1800	1372	r	1949
1801	1877	t	1873
1802	470	r	2016
1803	2797	t	1941
1804	2305	t	1983
1805	2049	l	1985
1806	1458	r	1880
1807	1554	r	1867
1808	2804	l	1949
1809	2650	r	2016
1810	2398	r	1985
1811	69	l	1879
1812	2166	t	1880
1813	1179	k	2010
1814	1756	k	1998
1815	2056	r	1836
1816	2623	r	1922
1817	1635	k	2013
1818	2197	l	1960
1819	1461	l	1837
1820	1250	l	1874
1821	2612	t	1936
1822	861	t	2004
1823	1613	l	1979
1824	2958	t	1907
1825	604	r	1876
1826	3230	r	1954
1827	1462	t	1899
1828	65	t	1868
1829	1217	l	1943
1830	2588	l	1985
1831	3050	r	2001
1832	1897	l	1948
1833	1345	r	2007
1834	2621	l	1948
1835	46	l	2007
1836	864	l	1936
1837	731	t	1938
1838	1796	r	2016
1839	2249	l	1970
1840	2955	r	1831
1841	2336	t	2001
1842	2252	l	1832
1843	2604	r	1907
1844	3191	r	1870
1845	2300	r	1995
1846	2858	r	1928
1847	1555	t	2019
1848	1515	t	2016
1849	1584	r	2007
1850	2119	r	1830
1851	1969	r	1949
1852	2173	l	1951
1853	1331	l	1831
1854	877	t	1988
1855	1526	r	1998
1856	739	t	1964
1857	140	r	1960
1858	249	t	1938
1859	1582	l	1843
1860	4	t	1921
1861	44	l	1985
1862	290	t	1940
1863	586	t	2004
1864	398	r	1985
1865	583	r	1877
1866	2620	l	1863
1867	2008	l	1909
1868	779	l	1847
1869	72	r	1998
1870	1203	l	2001
1871	2635	r	1945
1872	459	l	1834
1873	2944	t	1890
1874	2100	r	1979
1875	3039	l	1982
1876	1039	t	1878
1877	1882	r	1908
1878	44	r	1990
1879	2876	l	2001
1880	1468	t	1993
1881	1837	t	2007
1882	1215	l	1920
1883	2109	t	1937
1884	451	t	1960
1885	611	l	1911
1886	595	k	2019
1887	1775	l	1858
1888	2415	r	2010
1889	2549	r	1946
1890	2454	l	2016
1891	2015	t	1874
1892	3222	t	1858
1893	1277	t	1946
1894	1740	l	1841
1895	1134	l	1860
1896	2591	l	1973
1897	1719	k	1990
1898	2365	t	1916
1899	939	l	2010
1900	2649	t	1988
1901	402	l	1937
1902	1751	t	1889
1903	2655	t	1831
1904	1686	l	1872
1905	199	r	1995
1906	1188	l	1832
1907	2398	l	1976
1908	235	t	1988
1909	3117	r	1946
1910	282	l	1884
1911	1747	t	1879
1912	2818	t	1993
1913	2491	k	2016
1914	2496	t	1909
1915	3203	t	1878
1916	2214	t	1876
1917	1021	l	1948
1918	1332	l	1993
1919	2013	r	2007
1920	3023	l	1949
1921	1513	l	2010
1922	322	t	1888
1923	1420	l	2004
1924	2352	l	2013
1925	2492	r	1970
1926	63	r	1830
1927	2473	t	1979
1928	849	l	1864
1929	2675	l	1836
1930	2632	l	1831
1931	2123	k	2004
1932	816	l	1973
1933	1728	k	2010
1934	122	k	2007
1935	2221	t	1910
1936	2551	r	2010
1937	292	r	2013
1938	3209	t	1928
1939	1485	t	1865
1940	2318	l	1998
1941	1648	t	2001
1942	231	l	1949
1943	2131	r	1979
1944	930	r	1993
1945	2161	l	1922
1946	1634	l	1995
1947	1868	t	1925
1948	1605	l	1887
1949	2770	l	2001
1950	2838	t	1998
1951	2969	t	1955
1952	1952	l	1895
1953	2175	l	1831
1954	1185	r	1987
1955	1183	t	2013
1956	1619	k	1993
1957	2258	l	2004
1958	2497	t	2010
1959	1262	r	1941
1960	1042	r	1939
1961	2074	k	2004
1962	2797	l	1924
1963	2240	t	1986
1964	873	r	1982
1965	961	k	1990
1966	2674	t	1838
1967	2091	t	1882
1968	1814	r	1909
1969	2382	l	1836
1970	1014	r	1946
1971	3212	l	1868
1972	2680	r	1928
1973	2939	r	1990
1974	916	t	1979
1975	2295	l	1873
1976	583	l	1859
1977	1550	r	1958
1978	374	l	1861
1979	1332	r	1998
1980	346	r	1858
1981	414	l	1941
1982	276	l	2001
1983	3178	l	1970
1984	3083	r	1910
1985	685	r	1940
1986	291	t	2001
1987	782	t	1967
1988	862	l	1868
1989	1687	k	2004
1990	1710	t	1990
1991	526	l	1932
1992	1414	l	2019
1993	2934	l	1950
1994	577	t	1946
1995	2157	t	1998
1996	3131	r	1889
1997	1571	t	1896
1998	1737	r	2016
1999	1066	l	1865
2000	2108	r	2010
2001	981	r	1998
2002	2397	t	1891
2003	181	t	1988
2004	135	r	1915
2005	2697	l	1909
2006	1211	l	1858
2007	1742	l	2007
2008	108	r	1858
2009	607	t	1917
2010	2805	r	1858
2011	3032	r	1979
2012	837	t	1896
2013	843	l	1951
2014	262	l	1896
2015	2775	r	1990
2016	557	l	1965
2017	1249	l	1982
2018	53	l	1838
2019	1749	t	1998
2020	1905	t	1861
2021	788	l	1864
2022	1985	r	1973
2023	2036	k	2013
2024	2781	l	1844
2025	1044	t	1965
2026	1302	r	1861
2027	2441	r	1947
2028	3164	r	2010
2029	294	l	1864
2030	1158	l	1911
2031	2395	t	1976
2032	2743	t	1984
2033	1397	l	1973
2034	600	k	1998
2035	3007	l	1995
2036	2596	t	1995
2037	3074	r	1938
2038	2156	k	2007
2039	2284	t	2010
2040	2335	t	2010
2041	606	t	1858
2042	506	l	1908
2043	1945	t	1976
2044	2972	t	1907
2045	33	l	1995
2046	2140	l	1945
2047	878	t	2004
2048	2409	l	1833
2049	110	l	2019
2050	356	t	1970
2051	913	l	1838
2052	1302	l	1858
2053	3132	t	2013
2054	2785	t	1927
2055	2857	t	1886
2056	2129	t	1861
2057	3175	t	1932
2058	2751	r	1928
2059	1088	k	2010
2060	1660	r	1914
2061	9	t	1870
2062	839	t	2007
2063	1869	k	2016
2064	521	r	1995
2065	1157	k	1947
2066	222	r	1979
2067	933	r	1995
2068	2489	k	1993
2069	1098	t	1880
2070	1533	l	1878
2071	1996	r	2010
2072	2584	t	1881
2073	977	r	1958
2074	2620	r	1883
2075	2218	t	1998
2076	1401	l	2004
2077	3065	t	1965
2078	1075	r	2001
2079	1004	t	1986
2080	1389	t	1938
2081	1404	l	1919
2082	922	l	1990
2083	3070	t	1931
2084	2375	t	1948
2085	228	l	1858
2086	988	r	1939
2087	869	l	1990
2088	120	r	1935
2089	1412	l	1946
2090	245	r	1954
2091	698	k	1998
2092	2613	t	1912
2093	310	r	1995
2094	1038	t	1970
2095	2877	l	1835
2096	1998	l	2001
2097	1833	k	1832
2098	91	t	1908
2099	1047	l	2010
2100	106	t	1897
2101	2046	l	1840
2102	1346	l	2004
2103	3164	l	2004
2104	2817	t	1875
2105	2916	t	1886
2106	104	t	1933
2107	709	r	1908
2108	1413	t	2019
2109	105	l	1896
2110	35	l	1858
2111	2535	l	2004
2112	2946	r	2019
2113	1596	t	1927
2114	2662	r	1925
2115	1034	t	2010
2116	1607	t	1995
2117	2910	r	1985
2118	2158	l	1858
2119	615	l	1871
2120	1097	l	1947
2121	2219	l	2010
2122	2683	t	1868
2123	2064	l	1970
2124	2035	k	2019
2125	2950	r	1946
2126	619	r	2013
2127	1451	l	1911
2128	2771	t	1986
2129	2821	l	1934
2130	3094	l	1925
2131	170	t	1874
2132	3075	l	1840
2133	293	l	1860
2134	3151	l	1847
2135	2931	t	1858
2136	833	t	1955
2137	2351	t	1965
2138	409	r	1892
2139	2287	t	1964
2140	818	k	1993
2141	3121	t	1900
2142	694	t	1990
2143	2429	l	1946
2144	2887	t	1920
2145	205	t	1990
2146	2022	l	1916
2147	1672	t	1927
2148	2055	r	1945
2149	2849	l	1931
2150	497	t	2016
2151	465	l	2016
2152	1507	k	1990
2153	1289	l	1914
2154	1346	r	2010
2155	3186	k	2019
2156	3022	r	1976
2157	148	t	1893
2158	813	r	1912
2159	154	l	1858
2160	62	l	1960
2161	185	l	1951
2162	3140	t	1938
2163	2299	t	1861
2164	1547	k	1998
2165	944	l	1887
2166	1788	t	1873
2167	2407	t	1988
2168	550	r	1923
2169	2939	l	1985
2170	751	t	1995
2171	687	l	1858
2172	463	l	1834
2173	152	k	2010
2174	1767	l	1941
2175	2227	l	1830
2176	1276	r	1979
2177	2780	l	1915
2178	522	t	1833
2179	1939	k	1998
2180	2531	l	2007
2181	1358	k	2001
2182	295	l	1990
2183	394	t	1902
2184	552	l	1941
2185	561	t	1832
2186	2096	l	1917
2187	1663	t	1976
2188	1014	l	1938
2189	2708	l	1859
2190	372	l	1976
2191	1152	k	2001
2192	785	l	1939
2193	1676	l	1995
2194	2104	r	1910
2195	2056	l	1832
2196	2752	r	1979
2197	2282	l	1990
2198	89	l	1836
2199	2151	l	2001
2200	786	l	1861
2201	1570	t	1892
2202	1636	t	1873
2203	2892	r	1990
2204	1726	l	2007
2205	2815	t	1998
2206	929	l	1967
2207	1940	t	1986
2208	3011	l	1964
2209	117	r	1940
2210	2829	r	1945
2211	1551	l	1872
2212	1840	l	1945
2213	3128	k	2007
2214	2346	t	1858
2215	1917	l	2001
2216	1484	l	1932
2217	1692	k	1998
2218	403	l	1939
2219	1026	t	1915
2220	662	t	1895
2221	1351	k	2019
2222	319	l	1998
2223	2301	t	1846
2224	2726	r	1998
2225	962	k	1869
2226	1168	l	1965
2227	2164	l	2013
2228	1416	t	1967
2229	773	l	1884
2230	2065	t	1983
2231	1186	l	1903
2232	1138	t	1885
2233	706	k	1993
2234	1470	l	1835
2235	3199	r	1982
2236	2480	l	1948
2237	1273	l	1914
2238	79	k	2004
2239	714	r	1998
2240	2702	l	1946
2241	1253	t	1945
2242	54	l	1946
2243	564	l	1979
2244	3010	l	1900
2245	693	k	2013
2246	935	t	2004
2247	3230	l	1939
2248	3025	t	1976
2249	477	l	1943
2250	2681	t	1858
2251	492	t	1937
2252	904	l	2001
2253	2832	l	1990
2254	1316	l	2001
2255	409	t	1919
2256	997	l	1943
2257	575	t	1965
2258	806	l	1936
2259	653	t	1979
2260	2047	l	2001
2261	952	r	2010
2262	2853	l	2004
2263	1880	k	1993
2264	1228	l	1921
2265	1780	l	2010
2266	1594	l	1889
2267	2278	t	2007
2268	2261	t	1873
2269	1826	l	1858
2270	852	r	1995
2271	1123	l	1936
2272	2738	l	1935
2273	105	r	1922
2274	1508	l	1833
2275	1475	r	1925
2276	2139	r	1987
2277	1557	t	1990
2278	1598	r	1998
2279	1049	t	1932
2280	355	r	1945
2281	1535	t	1887
2282	485	t	1839
2283	666	r	1877
2284	673	t	1988
2285	213	t	1979
2286	1800	l	1965
2287	632	t	1839
2288	2652	l	1833
2289	2716	r	1987
2290	2057	l	1843
2291	1352	k	1998
2292	337	l	1841
2293	1959	t	2019
2294	1998	r	2007
2295	1140	k	2016
2296	2753	l	1990
2297	1654	t	1934
2298	372	r	1982
2299	1242	r	2016
2300	2721	r	1882
2301	2997	t	1865
2302	2371	l	1993
2303	2254	t	1964
2304	807	t	1964
2305	2604	l	1890
2306	1584	l	2001
2307	871	l	1993
2308	2048	l	1993
2309	2619	l	1938
2310	759	l	1961
2311	318	l	1990
2312	2257	r	1914
2313	2827	r	2010
2314	3218	t	1859
2315	234	t	1981
2316	2348	r	2010
2317	2321	l	1838
2318	2715	l	2004
2319	537	r	1998
2320	1233	r	1973
2321	2558	l	1925
2322	2290	l	1982
2323	2840	l	1873
2324	275	l	1998
2325	1328	l	1938
2326	2168	l	1867
2327	16	l	1970
2328	2230	r	1920
2329	2160	l	1982
2330	1779	l	1993
2331	939	r	2016
2332	1318	t	1942
2333	999	r	2001
2334	1302	t	1872
2335	163	t	1960
2336	3120	t	2010
2337	2063	l	1967
2338	1270	t	1930
2339	422	k	1990
2340	143	l	1839
2341	1831	t	1908
2342	2012	l	1935
2343	2498	r	1987
2344	1621	l	1880
2345	2085	l	1920
2346	732	t	1939
2347	3066	l	1945
2348	668	l	2007
2349	825	l	1973
2350	528	l	1973
2351	753	r	1987
2352	338	l	1939
2353	502	l	1883
2354	382	k	2007
2355	1262	l	1930
2356	2760	l	1990
2357	1572	t	1884
2358	1449	t	2013
2359	609	r	1920
2360	2150	l	1960
2361	1092	l	1908
2362	915	k	2001
2363	449	l	2001
2364	982	l	1891
2365	2316	t	1973
2366	2372	t	1937
2367	2891	l	1990
2368	831	r	1901
2369	2337	t	1981
2370	2317	r	1993
2371	1525	r	1987
2372	3032	l	1973
2373	2692	l	1973
2374	1748	r	2001
2375	667	l	1998
2376	701	t	1983
2377	509	r	2013
2378	2806	l	1859
2379	2662	l	1915
2380	634	l	1890
2381	1626	t	1918
2382	475	t	1926
2383	1093	t	1938
2384	1562	k	2010
2385	1771	l	2019
2386	429	t	1988
2387	241	k	2016
2388	2574	r	1995
2389	564	r	1985
2390	272	l	1951
2391	474	k	2007
2392	2600	r	1998
2393	686	t	1899
2394	2134	t	2007
2395	1494	t	1979
2396	809	l	1865
2397	1310	l	1987
2398	1936	r	1970
2399	2936	t	1913
2400	1300	t	1858
2401	2373	l	2013
2402	1586	r	1993
2403	1645	l	1864
2404	1859	r	2007
2405	1564	t	1881
2406	1548	l	1875
2407	1590	l	1920
2408	3013	l	1940
2409	1888	l	1863
2410	3228	t	1998
2411	1722	l	1918
2412	2604	t	1924
2413	572	l	1976
2414	1656	l	1864
2415	1037	r	1947
2416	1647	r	1942
2417	2437	r	1998
2418	1367	t	2004
2419	987	l	1998
2420	1083	t	1833
2421	3093	r	1995
2422	1811	r	1982
2423	1053	r	1982
2424	325	t	1889
2425	941	t	1931
2426	1369	k	2019
2427	1263	r	1985
2428	1347	l	1909
2429	1041	t	1858
2430	2974	t	1930
2431	2852	r	1982
2432	306	k	2019
2433	2141	l	1995
2434	978	r	1995
2435	2934	r	1960
2436	2044	l	2001
2437	2835	l	1995
2438	406	r	2007
2439	2463	l	1967
2440	704	r	1892
2441	2234	t	1926
2442	2220	t	1953
2443	3137	r	1838
2444	3182	l	1998
2445	426	t	1988
2446	348	t	1998
2447	2113	k	2010
2448	2265	l	1873
2449	2961	t	1955
2450	2543	t	1983
2451	2340	l	2016
2452	2169	l	1906
2453	2874	l	1839
2454	2918	r	2004
2455	1399	t	2013
2456	3004	t	1904
2457	3114	k	1993
2458	255	t	1864
2459	3137	l	1833
2460	3104	l	1920
2461	1533	t	1890
2462	3046	t	1924
2463	1357	t	1979
2464	1145	r	1946
2465	1964	r	1840
2466	1187	t	1998
2467	667	r	2004
2468	1074	l	2016
2469	2926	r	1891
2470	204	r	1956
2471	350	t	1993
2472	166	r	1900
2473	1301	t	1832
2474	2177	t	1976
2475	3027	t	1875
2476	2241	r	1982
2477	1775	r	1865
2478	920	r	1858
2479	371	l	1931
2480	2810	r	1926
2481	460	l	1949
2482	1852	r	2016
2483	1652	t	1983
2484	434	l	1990
2485	658	l	1908
2486	389	t	1995
2487	1274	k	2004
2488	602	l	1940
2489	2638	l	2007
2490	937	r	1987
2491	2633	r	1964
2492	3049	r	1949
2493	2127	t	1993
2494	2914	k	2004
2495	3143	r	1991
2496	2517	l	1934
2497	2363	t	1967
2498	278	l	1973
2499	2691	l	1881
2500	2570	r	1990
2501	525	t	1923
2502	1478	l	1987
2503	928	t	1990
2504	1469	r	1918
2505	695	r	1982
2506	1149	r	1946
2507	2964	l	1880
2508	2196	t	1928
2509	1838	l	1965
2510	1531	t	1899
2511	643	l	1960
2512	1376	l	1950
2513	224	t	1891
2514	2421	l	1864
2515	2274	k	2004
2516	1448	t	1858
2517	224	l	1860
2518	826	t	1970
2519	2171	t	1970
2520	2888	l	1925
2521	2219	r	2016
2522	2084	l	1949
2523	224	r	1870
2524	2087	t	1900
2525	156	k	1995
2526	2794	l	1990
2527	1425	t	1998
2528	931	r	2016
2529	2462	t	1995
2530	31	l	1917
2531	3191	l	1858
2532	3224	l	1967
2533	1471	l	1837
2534	1923	l	1899
2535	247	t	1863
2536	27	l	1948
2537	1692	l	2004
2538	1164	l	1927
2539	2372	l	1901
2540	2302	l	1982
2541	835	l	1882
2542	100	t	1906
2543	661	t	1970
2544	1258	k	1990
2545	582	l	1889
2546	1156	t	1910
2547	560	l	1970
2548	1263	l	1973
2549	368	l	1844
2550	1703	t	1958
2551	627	r	1896
2552	1235	t	1970
2553	2216	t	1976
2554	2816	t	1993
2555	1050	t	1910
2556	2564	l	1871
2557	1829	r	2001
2558	3050	l	1995
2559	742	r	1934
2560	1773	r	1883
2561	2930	l	1877
2562	3158	l	1947
2563	2758	l	1935
2564	1252	t	1891
2565	596	t	1897
2566	2327	l	1831
2567	814	t	1843
2568	2847	r	2019
2569	3048	k	1993
2570	2703	l	1993
2571	1855	l	2019
2572	918	r	1995
2573	713	r	1830
2574	2516	t	1995
2575	2455	t	1903
2576	2975	r	1910
2577	1040	t	1879
2578	1237	t	1973
2579	2054	l	1973
2580	2530	l	1958
2581	3192	t	1988
2582	2059	l	1953
2583	852	l	1990
2584	1780	r	2016
2585	2579	l	1940
2586	1759	r	1914
2587	2973	t	2010
2588	1349	r	1990
2589	226	l	1993
2590	3047	l	1967
2591	1135	l	1908
2592	1096	t	1998
2593	1778	t	1998
2594	936	t	1915
2595	2256	t	1859
2596	2341	t	1964
2597	490	l	1976
2598	3091	k	1831
2599	1057	l	1877
2600	882	l	1835
2601	1733	l	1831
2602	2677	t	2004
2603	848	r	1973
2604	798	t	1998
2605	7	k	2016
2606	3097	l	1876
2607	1420	r	2010
2608	1997	r	1945
2609	2846	r	1867
2610	1452	r	1941
2611	500	l	2010
2612	2653	t	1973
2613	1768	t	1937
2614	3058	r	1926
2615	2184	l	1877
2616	1498	l	1861
2617	1913	t	1908
2618	36	l	1973
2619	2565	t	1858
2620	2209	k	1993
2621	352	t	1926
2622	871	r	1998
2623	2013	l	2001
2624	2378	r	1871
2625	74	l	1908
2626	119	l	1858
2627	1698	l	1889
2628	173	t	1885
2629	540	l	1982
2630	454	l	1976
2631	2291	l	1935
2632	1385	l	1902
2633	2694	r	2010
2634	2010	t	1988
2635	2128	k	1990
2636	2578	t	1906
2637	1126	r	1982
2638	2130	l	2013
2639	1774	r	1892
2640	1673	l	1845
2641	1253	r	1931
2642	1247	t	1926
2643	3204	t	2004
2644	2615	l	1982
2645	168	l	2019
2646	2793	l	1917
2647	1907	l	1844
2648	1360	l	1887
2649	1260	l	1840
2650	1289	t	1938
2651	467	t	1868
2652	544	l	1892
2653	1574	l	1876
2654	651	t	1902
2655	1196	l	1982
2656	301	t	2019
2657	2349	t	2013
2658	1631	r	1930
2659	258	t	1953
2660	3135	l	1960
2661	958	l	1867
2662	2396	k	1928
2663	2591	r	1982
2664	501	t	1872
2665	2413	t	1858
2666	753	l	1979
2667	2625	t	2016
2668	641	l	1836
2669	531	r	1884
2670	2470	t	1869
2671	1978	l	1987
2672	1433	l	1945
2673	190	r	1928
2674	692	l	1948
2675	3089	t	2001
2676	2511	r	1943
2677	1071	l	1982
2678	3115	r	1939
2679	1510	l	1885
2680	483	l	1993
2681	2888	r	1936
2682	1320	t	1998
2683	26	t	1879
2684	2880	l	1920
2685	1550	l	1945
2686	2365	l	1888
2687	1903	t	1988
2688	892	t	1873
2689	5	r	1949
2690	744	r	1830
2691	2629	l	2001
2692	872	r	1830
2693	1558	r	1958
2694	1202	l	1926
2695	1644	l	1961
2696	1727	t	1940
2697	1480	l	1872
2698	1694	l	1869
2699	2865	k	1995
2700	2700	r	1982
2701	2082	t	2007
2702	43	t	1970
2703	1954	l	1913
2704	2116	l	1922
2705	336	l	1911
2706	968	l	2013
2707	2003	l	1864
2708	2183	l	1945
