id	nev	orszag	nem	szulev	urido
523	John Herrington	USA	F	1958	T014:18:48
524	Paolo A. Nespoli	ITA	F	1957	T313:02:37
525	Kimiya Yui	JPN	F	1970	T141:16:09
526	Konstantin Kozeyev	RUS	F	1967	T009:20:00
527	Bruce Melnick	USA	F	1949	T013:01:27
528	Vladimir Komarov	URS	F	1927	T002:03:04
529	Mikhail Tyurin	RUS	F	1960	T532:02:52
530	Jean-François Clervoy	FRA	F	1958	T029:02:05
531	Aleksandr Ivanchenkov	URS	F	1940	T139:14:47
532	Thomas Kenneth "Ken" Mattingly II	USA	F	1936	T021:04:33
533	Dick Scobee	USA	F	1939	T006:23:40
534	Steven R. Nagel	USA	F	1946	T030:01:36
535	Samantha Cristoforetti	ITA	N	1977	T199:16:42
536	Richard Hieb	USA	F	1955	T032:00:35
537	Kathleen Rubins	USA	N	1978	T115:02:22
538	Aleksandr Lazutkin	RUS	F	1957	T184:22:07
539	Timothy Creamer	USA	F	1959	T163:05:33
540	Yelena Serova	RUS	N	1976	T167:05:42
541	Leonid Kadeniuk	UKR	F	1951	T015:16:34
542	Valeri Polyakov	RUS	F	1942	T678:16:33
543	Robert L. Gibson	USA	F	1946	T036:04:18
544	Yuri Gagarin	URS	F	1934	T000:01:48
545	John O. Creighton	USA	F	1943	T016:20:24
546	Thomas D. Jones	USA	F	1955	T053:00:49
547	Konstantin Feoktistov	URS	F	1926	T001:00:17
548	Kevin P. Chilton	USA	F	1954	T029:10:23
549	Paul Weitz	USA	F	1932	T033:01:13
550	Boris Volynov	URS	F	1934	T052:07:17
551	Sergey Nikolayevich Ryzhikov	RUS	F	1974	T173:03:15
552	Georgi Shonin	URS	F	1935	T004:22:42
553	Zhang Xiaoguang	CHN	F	1966	T014:14:28
554	Gregory R. Wiseman	USA	F	1975	T165:08:00
555	Viktor Savinykh	URS	F	1940	T242:21:28
556	Liu Boming	CHN	F	1966	T002:20:26
557	Oleg Artemyev	RUS	F	1970	T364:23:05
558	Susan Helms	USA	N	1958	T210:23:07
559	Robert J. Cenker	USA	F	1948	T006:02:03
560	James Halsell	USA	F	1956	T052:10:32
561	Alexander Poleshchuk	RUS	F	1953	T179:00:43
